date;nCFR;nCFR_LQ;nCFR_UQ;cCFR;cCFR_LQ;cCFR_UQ;letalidad_caso_cruda;letalidad_caso_aj_retraso
2020-03-27;0,003154574;0,0008601635;0,008057102;0,03355586;0,009233072;0,08382901;0.315% (0.086% - 0.806%);3.36% (0.923% - 8.38%)
2020-03-28;0,003190810;0,0010368341;0,007430455;0,02843639;0,009287377;0,06504916;0.319% (0.104% - 0.743%);2.84% (0.929% - 6.5%)
2020-03-29;0,003338898;0,0012262721;0,007253109;0,02417975;0,008929200;0,05191266;0.334% (0.123% - 0.725%);2.42% (0.893% - 5.19%)
2020-03-30;0,004271476;0,0019549945;0,008093040;0,02663897;0,012246391;0,04994333;0.427% (0.195% - 0.809%);2.66% (1.22% - 4.99%)
2020-03-31;0,005425710;0,0028920297;0,009260257;0,02919237;0,015644731;0,04943789;0.543% (0.289% - 0.926%);2.92% (1.56% - 4.94%)
2020-04-01;0,005206396;0,0028492206;0,008720034;0,02454067;0,013491527;0,04086676;0.521% (0.285% - 0.872%);2.45% (1.35% - 4.09%)
2020-04-02;0,005878511;0,0034875884;0,009274728;0,02524934;0,015029130;0,03960605;0.588% (0.349% - 0.927%);2.52% (1.5% - 3.96%)
2020-04-03;0,007069219;0,0045344804;0,010500289;0,02751998;0,017712330;0,04067641;0.707% (0.453% - 1.05%);2.75% (1.77% - 4.07%)
2020-04-04;0,008379157;0,0057381949;0,011808449;0,03052998;0,020977269;0,04283361;0.838% (0.574% - 1.18%);3.05% (2.1% - 4.28%)
2020-04-05;0,007992250;0,0055076999;0,011205938;0,02658600;0,018373460;0,03714296;0.799% (0.551% - 1.12%);2.66% (1.84% - 3.71%)
2020-04-06;0,008718981;0,0062071848;0,011900043;0,02686778;0,019167899;0,03653626;0.872% (0.621% - 1.19%);2.69% (1.92% - 3.65%)
2020-04-07;0,009007122;0,0065259502;0,012113553;0,02562656;0,018606142;0,03436375;0.901% (0.653% - 1.21%);2.56% (1.86% - 3.44%)
2020-04-08;0,010184473;0,0076379157;0,013300617;0,02762584;0,020765969;0,03599016;1.02% (0.764% - 1.33%);2.76% (2.08% - 3.6%)
2020-04-09;0,011012433;0,0084533030;0,014095490;0,02855311;0,021964011;0,03646239;1.1% (0.845% - 1.41%);2.86% (2.2% - 3.65%)
2020-04-10;0,011040753;0,0085834932;0,013976063;0,02790973;0,021740535;0,03525561;1.1% (0.858% - 1.4%);2.79% (2.17% - 3.53%)
2020-04-11;0,011389522;0,0089688279;0,014256216;0,02762652;0,021788871;0,03450553;1.14% (0.897% - 1.43%);2.76% (2.18% - 3.45%)
2020-04-12;0,011352059;0,0089833884;0,014147901;0,02592883;0,020549985;0,03225836;1.14% (0.898% - 1.41%);2.59% (2.05% - 3.23%)
2020-04-13;0,012111931;0,0097122215;0,014918854;0,02623272;0,021066445;0,03226298;1.21% (0.971% - 1.49%);2.62% (2.11% - 3.23%)
2020-04-14;0,012013201;0,0096830040;0,014729329;0,02502638;0,020197324;0,03064027;1.2% (0.968% - 1.47%);2.5% (2.02% - 3.06%)
2020-04-15;0,012608750;0,0102704347;0,015314665;0,02523003;0,020571758;0,03059878;1.26% (1.03% - 1.53%);2.52% (2.06% - 3.06%)
2020-04-16;0,012522150;0,0102631849;0,015125273;0,02467230;0,020244308;0,02976518;1.25% (1.03% - 1.51%);2.47% (2.02% - 2.98%)
2020-04-17;0,012457912;0,0102591984;0,014983410;0,02395282;0,019745109;0,02877519;1.25% (1.03% - 1.5%);2.4% (1.97% - 2.88%)
2020-04-18;0,012569237;0,0104146420;0,015033626;0,02370124;0,019655094;0,02831478;1.26% (1.04% - 1.5%);2.37% (1.97% - 2.83%)
2020-04-19;0,012723168;0,0105933001;0,015151143;0,02325713;0,019379274;0,02766548;1.27% (1.06% - 1.52%);2.33% (1.94% - 2.77%)
2020-04-20;0,013182489;0,0110563881;0,015593829;0,02353428;0,019753968;0,02781152;1.32% (1.11% - 1.56%);2.35% (1.98% - 2.78%)
2020-04-21;0,013536702;0,0114135266;0,015935860;0,02341779;0,019758895;0,02754262;1.35% (1.14% - 1.59%);2.34% (1.98% - 2.75%)
2020-04-22;0,013419755;0,0113494304;0,015754316;0,02282784;0,019318209;0,02677474;1.34% (1.13% - 1.58%);2.28% (1.93% - 2.68%)
2020-04-23;0,013426330;0,0114006892;0,015704162;0,02258397;0,019189577;0,02639457;1.34% (1.14% - 1.57%);2.26% (1.92% - 2.64%)
2020-04-24;0,013373454;0,0113924241;0,015596170;0,02221563;0,018937213;0,02588910;1.34% (1.14% - 1.56%);2.22% (1.89% - 2.59%)
2020-04-25;0,013342921;0,0114066324;0,015510127;0,02200088;0,018818698;0,02555475;1.33% (1.14% - 1.55%);2.2% (1.88% - 2.56%)
2020-04-26;0,013549927;0,0116327765;0,015689348;0,02203729;0,018931456;0,02550090;1.35% (1.16% - 1.57%);2.2% (1.89% - 2.55%)
2020-04-27;0,013955905;0,0120433646;0,016082417;0,02240389;0,019345478;0,02580199;1.4% (1.2% - 1.61%);2.24% (1.93% - 2.58%)
2020-04-28;0,013905726;0,0120333083;0,015983626;0,02214467;0,019172673;0,02543700;1.39% (1.2% - 1.6%);2.21% (1.92% - 2.54%)
2020-04-29;0,013655107;0,0118472575;0,015657765;0,02188716;0,018999878;0,02508216;1.37% (1.18% - 1.57%);2.19% (1.9% - 2.51%)
2020-04-30;0,013392003;0,0116517219;0,015316079;0,02173220;0,018918300;0,02483962;1.34% (1.17% - 1.53%);2.17% (1.89% - 2.48%)
2020-05-01;0,013200528;0,0115231105;0,015050857;0,02175511;0,018999937;0,02478838;1.32% (1.15% - 1.51%);2.18% (1.9% - 2.48%)
2020-05-02;0,012546289;0,0109755251;0,014276485;0,02144456;0,018770761;0,02438768;1.25% (1.1% - 1.43%);2.14% (1.88% - 2.44%)
2020-05-03;0,012732260;0,0111991437;0,014414494;0,02217798;0,019518516;0,02509250;1.27% (1.12% - 1.44%);2.22% (1.95% - 2.51%)
2020-05-04;0,012757992;0,0112596421;0,014398179;0,02224078;0,019639931;0,02508514;1.28% (1.13% - 1.44%);2.22% (1.96% - 2.51%)
2020-05-05;0,012503460;0,0110667372;0,014073044;0,02211710;0,019586276;0,02487818;1.25% (1.11% - 1.41%);2.21% (1.96% - 2.49%)
2020-05-06;0,012595790;0,0111858556;0,014132455;0,02214234;0,019674785;0,02482981;1.26% (1.12% - 1.41%);2.21% (1.97% - 2.48%)
2020-05-07;0,013036841;0,0116468344;0,014545346;0,02317574;0,020715660;0,02584192;1.3% (1.16% - 1.45%);2.32% (2.07% - 2.58%)
2020-05-08;0,012914553;0,0115682213;0,014372933;0,02297583;0,020591898;0,02555641;1.29% (1.16% - 1.44%);2.3% (2.06% - 2.56%)
2020-05-09;0,013171113;0,0118423564;0,014606598;0,02324123;0,020906425;0,02575911;1.32% (1.18% - 1.46%);2.32% (2.09% - 2.58%)
2020-05-10;0,013497406;0,0121904947;0,014904744;0,02389764;0,021594963;0,02637546;1.35% (1.22% - 1.49%);2.39% (2.16% - 2.64%)
2020-05-11;0,013626729;0,0123395599;0,015010214;0,02376580;0,021531478;0,02616544;1.36% (1.23% - 1.5%);2.38% (2.15% - 2.62%)
2020-05-12;0,013735301;0,0124767457;0,015085017;0,02391379;0,021732714;0,02625046;1.37% (1.25% - 1.51%);2.39% (2.17% - 2.63%)
2020-05-13;0,013778313;0,0125668918;0,015073710;0,02461585;0,022461902;0,02691588;1.38% (1.26% - 1.51%);2.46% (2.25% - 2.69%)
