date;ss;codigo_ss;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aconcagua; 8; 5,0142482; 0,129741435;18,6366074
2020-03-30;Aconcagua; 8; 4,9924123; 0,129643208;18,6397909
2020-03-31;Aconcagua; 8; 4,9545328; 0,127881756;18,4465061
2020-04-01;Aconcagua; 8;50,1245083;24,262535471;85,0210155
2020-04-02;Aconcagua; 8;12,5501587; 2,127666897;43,8862445
2020-04-03;Aconcagua; 8; 6,1150492; 1,842198317;18,7893912
2020-04-04;Aconcagua; 8; 3,3183614; 1,242705089; 8,1137408
2020-04-05;Aconcagua; 8; 2,2494826; 1,012438033; 4,6032050
2020-04-06;Aconcagua; 8; 1,9074004; 0,973750967; 3,4138556
2020-04-07;Aconcagua; 8; 1,9233565; 1,079990880; 3,1422217
2020-04-08;Aconcagua; 8; 1,9105377; 1,126930233; 2,9710828
2020-04-09;Aconcagua; 8; 1,6500968; 0,966220722; 2,5585649
2020-04-10;Aconcagua; 8; 1,5946264; 0,970232298; 2,4031535
2020-04-11;Aconcagua; 8; 1,4394141; 0,898747865; 2,1483974
2020-04-12;Aconcagua; 8; 1,3213952; 0,826300248; 1,9474330
2020-04-13;Aconcagua; 8; 1,2436759; 0,786802415; 1,8175090
2020-04-14;Aconcagua; 8; 1,1893457; 0,757520285; 1,7276188
2020-04-15;Aconcagua; 8; 0,8155948; 0,474462427; 1,2543912
2020-04-16;Aconcagua; 8; 0,8818605; 0,524603974; 1,3376871
2020-04-17;Aconcagua; 8; 0,8155218; 0,462063148; 1,2740770
2020-04-18;Aconcagua; 8; 0,9025704; 0,524001174; 1,3957750
2020-04-19;Aconcagua; 8; 1,1524690; 0,705242263; 1,7109651
2020-04-20;Aconcagua; 8; 1,0874460; 0,666623444; 1,6096056
2020-04-21;Aconcagua; 8; 0,9143350; 0,534207382; 1,4025714
2020-04-22;Aconcagua; 8; 0,8208465; 0,462867100; 1,2876110
2020-04-23;Aconcagua; 8; 0,8525759; 0,474057371; 1,3335434
2020-04-24;Aconcagua; 8; 0,7722104; 0,406952373; 1,2591117
2020-04-25;Aconcagua; 8; 0,8767445; 0,474973798; 1,4093681
2020-04-26;Aconcagua; 8; 0,9160843; 0,496714666; 1,4676317
2020-04-27;Aconcagua; 8; 1,0828382; 0,613314395; 1,6810787
