date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-21;12;Tarapacá; 4,9989193;0,13431383;18,220517
2020-03-22;12;Tarapacá; 5,0322436;0,13142393;18,738487
2020-03-23;13;Tarapacá; 4,9974291;0,12563643;18,462982
2020-03-24;13;Tarapacá; 5,0595795;0,13198906;18,912492
2020-03-25;13;Tarapacá; 4,9504220;0,12202319;18,103533
2020-03-26;13;Tarapacá; 5,0220355;0,12466455;18,300076
2020-03-27;13;Tarapacá; 4,9976464;0,12339933;18,387708
2020-03-28;13;Tarapacá; 4,9901354;0,13259105;18,181695
2020-03-29;13;Tarapacá; 5,0046742;0,12831281;18,606011
2020-03-30;14;Tarapacá; 4,9336722;0,12246558;18,171388
2020-03-31;14;Tarapacá; 9,9931479;1,20484564;27,726666
2020-04-01;14;Tarapacá; 6,5593326;0,69479867;19,838745
2020-04-02;14;Tarapacá; 4,2953432;0,47445308;13,144304
2020-04-03;14;Tarapacá; 3,2294661;0,36236526; 9,768808
2020-04-04;14;Tarapacá; 2,6757253;0,29339326; 7,844624
2020-04-05;14;Tarapacá; 2,3595658;0,28150436; 6,728824
2020-04-06;15;Tarapacá; 2,1640723;0,26260014; 6,131532
2020-04-07;15;Tarapacá; 2,0042624;0,24065596; 5,630725
2020-04-08;15;Tarapacá; 1,9029198;0,22895204; 5,325776
2020-04-09;15;Tarapacá; 1,8532857;0,23486649; 5,181905
2020-04-10;15;Tarapacá; 1,8156413;0,21978246; 5,059657
2020-04-11;15;Tarapacá; 1,7537268;0,21381600; 4,838288
2020-04-12;15;Tarapacá; 1,7404808;0,21222106; 4,830113
2020-04-13;16;Tarapacá; 1,7221648;0,20832373; 4,750762
2020-04-14;16;Tarapacá; 0,8590725;0,02134210; 3,144311
2020-04-15;16;Tarapacá; 0,9774511;0,02371337; 3,662561
2020-04-16;16;Tarapacá; 1,2011789;0,02820715; 4,589322
2020-04-17;16;Tarapacá; 1,4426179;0,03477117; 5,504849
2020-04-18;16;Tarapacá; 1,6777281;0,04320735; 6,368122
2020-04-19;16;Tarapacá; 1,9763742;0,04789913; 7,557877
2020-04-20;17;Tarapacá; 4,6056814;0,52396210;13,304144
2020-04-21;17;Tarapacá; 3,8653712;0,46023120;10,995008
2020-04-22;17;Tarapacá; 6,2771066;1,60383733;14,555851
2020-04-23;17;Tarapacá; 4,2644248;0,93019580;10,862545
2020-04-24;17;Tarapacá; 2,9453424;0,69073788; 7,486967
2020-04-25;17;Tarapacá; 2,2877614;0,56401960; 5,503386
