date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  4,97673315;1,168439e-01; 18,3791237
2020-03-30;Aisén;Aysén;  5,06918989;1,244102e-01; 18,5367514
2020-03-31;Aisén;Aysén;  5,02223434;1,207358e-01; 18,3405809
2020-04-01;Aisén;Aysén;  9,95126645;1,220120e+00; 27,6594780
2020-04-02;Aisén;Aysén; 13,32841817;3,091806e+00; 33,0251189
2020-04-03;Aisén;Aysén;  8,15827474;1,706639e+00; 23,2246146
2020-04-04;Aisén;Aysén;  4,31799100;9,808812e-01; 12,1192730
2020-04-05;Aisén;Aysén;  3,36248559;1,004205e+00;  8,2717032
2020-04-06;Aisén;Aysén;  2,48177517;8,047727e-01;  5,6256442
2020-04-07;Aisén;Aysén;  1,97041998;6,696649e-01;  4,2142151
2020-04-08;Aisén;Aysén;  1,70037943;6,058140e-01;  3,4472527
2020-04-09;Aisén;Aysén;  1,52593391;5,443880e-01;  3,0465826
2020-04-10;Aisén;Aysén;  1,42002861;5,241419e-01;  2,7889884
2020-04-11;Aisén;Aysén;  1,34248071;4,962615e-01;  2,6015278
2020-04-12;Aisén;Aysén;  1,29274181;4,777359e-01;  2,5154698
2020-04-13;Aisén;Aysén;  1,25495892;4,632364e-01;  2,4438988
2020-04-14;Aisén;Aysén;  1,22608121;4,429070e-01;  2,4117622
2020-04-15;Aisén;Aysén;  1,01063880;3,256332e-01;  2,0756176
2020-04-16;Aisén;Aysén;  0,61524458;1,263582e-01;  1,4870886
2020-04-17;Aisén;Aysén;  0,45102343;5,428407e-02;  1,2881920
2020-04-18;Aisén;Aysén;  0,52439073;6,071339e-02;  1,5123823
2020-04-19;Aisén;Aysén;  0,30954917;8,183713e-03;  1,1782940
2020-04-20;Aisén;Aysén;  0,38341604;9,890262e-03;  1,4770335
2020-04-21;Aisén;Aysén;  0,49303998;1,100113e-02;  1,9363888
2020-04-22;Aisén;Aysén;  0,61297791;1,416072e-02;  2,3876937
2020-04-23;Aisén;Aysén;  0,76515463;1,756096e-02;  2,9608507
2020-04-24;Aisén;Aysén;  0,94614011;2,262606e-02;  3,6886009
2020-04-25;Aisén;Aysén;  1,18095698;2,936443e-02;  4,6620293
2020-04-26;Aisén;Aysén;  1,43622211;3,535615e-02;  5,5325269
2020-04-27;Aisén;Aysén;  1,72796454;4,182648e-02;  6,6461725
2020-04-28;Aisén;Aysén;  2,03386896;5,076928e-02;  7,7453428
2020-04-29;Aisén;Aysén;  2,36239756;5,786561e-02;  8,8694583
2020-04-30;Aisén;Aysén;  2,71691838;6,567763e-02; 10,2455453
2020-05-01;Aisén;Aysén;  2,95153907;7,602564e-02; 11,0539283
2020-05-02;Aisén;Aysén;  3,33402422;7,978314e-02; 12,4254113
2020-05-03;Aisén;Aysén;  3,56501618;9,401624e-02; 13,4810328
2020-05-04;Aisén;Aysén;  3,85068771;9,083214e-02; 14,6225871
2020-05-05;Aisén;Aysén;  4,02911764;9,763197e-02; 14,8820665
2020-05-06;Aisén;Aysén;  4,23298006;1,056289e-01; 15,9934728
2020-05-07;Aisén;Aysén;  4,32335262;1,070927e-01; 16,2418086
2020-05-08;Aisén;Aysén;  4,46842287;1,108975e-01; 16,5254326
2020-05-09;Aisén;Aysén;  4,56534515;1,118404e-01; 16,9404179
2020-05-10;Aisén;Aysén;  4,64000119;1,092276e-01; 17,2145341
2020-05-11;Aisén;Aysén;  4,70186502;1,220939e-01; 17,3882381
2020-05-12;Aisén;Aysén;  4,78632902;1,169181e-01; 17,8565675
2020-05-13;Aisén;Aysén;  4,87517352;1,204818e-01; 18,1963783
2020-05-14;Aisén;Aysén;  4,86377239;1,319848e-01; 18,0672251
2020-05-15;Aisén;Aysén;  4,87609006;1,176914e-01; 17,8527332
2020-05-16;Aisén;Aysén;  4,95320017;1,203271e-01; 18,0340879
2020-05-17;Aisén;Aysén;  4,95766279;1,292843e-01; 18,3298222
2020-05-18;Aisén;Aysén;  4,94729791;1,270903e-01; 18,0899486
2020-05-19;Aisén;Aysén;  4,88392262;1,244825e-01; 17,9953880
2020-05-20;Aisén;Aysén;  4,99306419;1,320121e-01; 18,2071682
2020-05-21;Aisén;Aysén;  4,99201534;1,293398e-01; 18,4327821
2020-05-22;Aisén;Aysén;  4,96378266;1,295471e-01; 18,2309502
2020-05-23;Aisén;Aysén;  4,95843149;1,330921e-01; 18,1899151
2020-05-24;Aisén;Aysén;  4,93804525;1,290768e-01; 18,2761175
2020-05-25;Aisén;Aysén;  4,99327765;1,246391e-01; 18,4283619
2020-05-26;Aisén;Aysén;  9,96849048;1,167848e+00; 27,8490581
2020-05-27;Aisén;Aysén;  6,64681764;7,121790e-01; 20,3193922
2020-05-28;Aisén;Aysén;  6,50635515;1,141340e+00; 18,0858819
