date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-17;12;Chile; 4,0556671;2,178855258; 6,9655982
2020-03-18;12;Chile; 3,1758702;1,787945818; 5,5791331
2020-03-19;12;Chile; 3,2701026;2,032249461; 5,4671518
2020-03-20;12;Chile; 3,0355011;1,888770986; 4,9001574
2020-03-21;12;Chile; 2,7746555;1,779818470; 4,3558055
2020-03-22;12;Chile; 2,4782582;1,650596099; 3,7759861
2020-03-23;13;Chile; 2,2886756;1,597529976; 3,3707604
2020-03-24;13;Chile; 2,2873271;1,653172743; 3,2247456
2020-03-25;13;Chile; 2,3026862;1,678048437; 3,1831224
2020-03-26;13;Chile; 2,1309072;1,551442182; 2,9264878
2020-03-27;13;Chile; 2,1649283;1,616024509; 2,9378854
2020-03-28;13;Chile; 2,1175335;1,584584484; 2,8360498
2020-03-29;13;Chile; 1,9662542;1,479288648; 2,6178154
2020-03-30;14;Chile; 1,8452063;1,425287951; 2,4220183
2020-03-31;14;Chile; 1,7564174;1,391270470; 2,2565713
2020-04-01;14;Chile; 1,6864906;1,364291447; 2,1141728
2020-04-02;14;Chile; 1,6321747;1,341417137; 2,0090064
2020-04-03;14;Chile; 1,5683208;1,310034687; 1,8994099
2020-04-04;14;Chile; 1,5479616;1,310474624; 1,8461700
2020-04-05;14;Chile; 1,4834974;1,265580512; 1,7501946
2020-04-06;15;Chile; 1,4339617;1,239817510; 1,6734171
2020-04-07;15;Chile; 1,3602749;1,190781391; 1,5686383
2020-04-08;15;Chile; 1,3290591;1,185600758; 1,5076509
2020-04-09;15;Chile; 1,3202457;1,189675452; 1,4777607
2020-04-10;15;Chile; 1,3017197;1,178345985; 1,4456349
2020-04-11;15;Chile; 1,2599978;1,146282723; 1,3900654
2020-04-12;15;Chile; 1,2092421;1,110802230; 1,3246843
2020-04-13;16;Chile; 1,1578111;1,077336405; 1,2544743
2020-04-14;16;Chile; 1,1412430;1,075369326; 1,2218354
2020-04-15;16;Chile; 1,1217720;1,064450180; 1,1890910
2020-04-16;16;Chile; 1,1269751;1,074990412; 1,1865715
2020-04-17;16;Chile; 1,1218987;1,071153487; 1,1764669
2020-04-18;16;Chile; 1,1058254;1,057346956; 1,1578595
2020-04-19;16;Chile; 1,0912792;1,046143008; 1,1400242
2020-04-20;17;Chile; 1,0851402;1,044116919; 1,1295228
2020-04-21;17;Chile; 1,0710343;1,031833058; 1,1123914
2020-04-22;17;Chile; 1,0612288;1,024870291; 1,0999086
2020-04-23;17;Chile; 1,0639803;1,029702955; 1,1006356
2020-04-24;17;Chile; 1,0443763;1,011205027; 1,0787121
2020-04-25;17;Chile; 1,0561943;1,024851536; 1,0887320
2020-04-26;17;Chile; 1,0783612;1,046392817; 1,1110448
2020-04-27;18;Chile; 1,0928094;1,057587436; 1,1281490
2020-04-28;18;Chile; 1,1018712;1,062501239; 1,1400663
2020-04-29;18;Chile; 1,1503900;1,106304461; 1,1933729
2020-04-30;18;Chile; 1,1793153;1,122665996; 1,2316958
2020-05-01;18;Chile; 1,2274296;1,157678145; 1,2929107
2020-05-02;18;Chile; 1,3242464;1,233200727; 1,4102528
2020-05-03;18;Chile; 1,3802448;1,252634295; 1,4965314
