date;underreporting_estimate;lower;upper;underreporting_estimate_clean
2020-08-05;0,36;0,27;0,44;36% (27% - 44%)
2020-08-04;0,36;0,27;0,44;36% (27% - 44%)
2020-08-03;0,36;0,28;0,45;36% (28% - 45%)
2020-08-02;0,37;0,28;0,45;37% (28% - 45%)
2020-08-01;0,37;0,29;0,45;37% (29% - 45%)
2020-07-31;0,38;0,29;0,46;38% (29% - 46%)
2020-07-30;0,38;0,30;0,46;38% (30% - 46%)
2020-07-29;0,39;0,30;0,47;39% (30% - 47%)
2020-07-28;0,39;0,31;0,47;39% (31% - 47%)
2020-07-27;0,40;0,31;0,47;40% (31% - 47%)
2020-07-26;0,40;0,32;0,48;40% (32% - 48%)
2020-07-25;0,41;0,33;0,48;41% (33% - 48%)
2020-07-24;0,41;0,33;0,49;41% (33% - 49%)
2020-07-23;0,42;0,34;0,49;42% (34% - 49%)
2020-07-22;0,42;0,34;0,50;42% (34% - 50%)
2020-07-21;0,43;0,35;0,50;43% (35% - 50%)
2020-07-20;0,43;0,36;0,50;43% (36% - 50%)
2020-07-19;0,44;0,36;0,51;44% (36% - 51%)
2020-07-18;0,44;0,37;0,51;44% (37% - 51%)
2020-07-17;0,45;0,37;0,52;45% (37% - 52%)
2020-07-16;0,46;0,38;0,53;46% (38% - 53%)
2020-07-15;0,46;0,39;0,53;46% (39% - 53%)
2020-07-14;0,47;0,40;0,54;47% (40% - 54%)
2020-07-13;0,47;0,40;0,54;47% (40% - 54%)
2020-07-12;0,48;0,41;0,54;48% (41% - 54%)
2020-07-11;0,48;0,41;0,55;48% (41% - 55%)
2020-07-10;0,48;0,41;0,55;48% (41% - 55%)
2020-07-09;0,49;0,42;0,55;49% (42% - 55%)
2020-07-08;0,49;0,42;0,55;49% (42% - 55%)
2020-07-07;0,49;0,42;0,56;49% (42% - 56%)
2020-07-06;0,49;0,42;0,56;49% (42% - 56%)
2020-07-05;0,50;0,43;0,56;50% (43% - 56%)
2020-07-04;0,50;0,43;0,56;50% (43% - 56%)
2020-07-03;0,50;0,44;0,57;50% (44% - 57%)
2020-07-02;0,51;0,44;0,57;51% (44% - 57%)
2020-07-01;0,51;0,44;0,57;51% (44% - 57%)
2020-06-30;0,52;0,45;0,58;52% (45% - 58%)
2020-06-29;0,52;0,46;0,58;52% (46% - 58%)
2020-06-28;0,53;0,46;0,59;53% (46% - 59%)
2020-06-27;0,53;0,47;0,59;53% (47% - 59%)
2020-06-26;0,54;0,48;0,60;54% (48% - 60%)
