region;date;new_cases;cases;deaths;underreporting_estimate;lower;upper;underreporting_estimate_clean
Antofagasta;2020-08-03;  156; 15184; 358;0,50;0,38;0,62;50% (38% - 62%)
Araucanía;2020-08-03;   44;  4208;  79;0,48;0,28;0,72;48% (28% - 72%)
Arica y Parinacota;2020-08-03;   59;  4584;  68;0,32;0,03;0,97;32% (3% - 97%)
Biobío;2020-08-03;  145; 11820; 124;0,00;0,00;1,00;0% (0% - 100%)
Coquimbo;2020-08-03;   82;  6633;  75;0,07;0,00;1,00;7% (0% - 100%)
Los Lagos;2020-08-03;   62;  4241;  42;0,07;0,00;1,00;7% (0% - 100%)
Los Ríos;2020-08-03;    8;   919;  14;0,21;0,00;1,00;21% (0% - 100%)
Magallanes;2020-08-03;   23;  1829;  29;0,38;0,01;0,99;38% (1% - 99%)
Maule;2020-08-03;   73;  9278; 193;0,44;0,29;0,71;44% (29% - 71%)
Metropolitana;2020-08-03;  686;258080;7700;0,56;0,50;0,50;56% (50% - 50%)
Ñuble;2020-08-03;   20;  3603;  63;0,41;0,16;0,84;41% (16% - 84%)
O’Higgins;2020-08-03;   86; 10877; 252;0,49;0,36;0,64;49% (36% - 64%)
Tarapacá;2020-08-03;   63;  8985; 173;0,42;0,25;0,75;42% (25% - 75%)
Valparaíso;2020-08-03;  123; 18083; 522;0,59;0,50;0,50;59% (50% - 50%)
Antofagasta;2020-08-02;  144; 15028; 353;0,50;0,38;0,62;50% (38% - 62%)
Araucanía;2020-08-02;   41;  4164;  79;0,48;0,29;0,71;48% (29% - 71%)
Arica y Parinacota;2020-08-02;   75;  4525;  63;0,28;0,00;1,00;28% (0% - 100%)
Biobío;2020-08-02;  182; 11675; 120;0,00;0,00;1,00;0% (0% - 100%)
Coquimbo;2020-08-02;  128;  6551;  74;0,08;0,00;1,00;8% (0% - 100%)
Los Lagos;2020-08-02;  132;  4179;  42;0,10;0,00;1,00;10% (0% - 100%)
Los Ríos;2020-08-02;    6;   911;  14;0,22;0,00;1,00;22% (0% - 100%)
Magallanes;2020-08-02;   24;  1806;  28;0,37;0,00;1,00;37% (0% - 100%)
Maule;2020-08-02;  102;  9205; 182;0,42;0,25;0,75;42% (25% - 75%)
Metropolitana;2020-08-02;  766;257394;7649;0,56;0,50;0,50;56% (50% - 50%)
Ñuble;2020-08-02;   27;  3583;  62;0,41;0,16;0,84;41% (16% - 84%)
O’Higgins;2020-08-02;   92; 10791; 244;0,48;0,34;0,66;48% (34% - 66%)
Tarapacá;2020-08-02;   59;  8922; 170;0,41;0,24;0,76;41% (24% - 76%)
Valparaíso;2020-08-02;  193; 17960; 513;0,58;0,50;0,50;58% (50% - 50%)
Antofagasta;2020-08-01;  130; 14884; 352;0,50;0,39;0,61;50% (39% - 61%)
Araucanía;2020-08-01;   26;  4123;  78;0,48;0,29;0,71;48% (29% - 71%)
Arica y Parinacota;2020-08-01;  107;  4450;  60;0,27;0,00;1,00;27% (0% - 100%)
Biobío;2020-08-01;  176; 11493; 120;0,00;0,00;1,00;0% (0% - 100%)
Coquimbo;2020-08-01;   90;  6423;  74;0,10;0,00;1,00;10% (0% - 100%)
Los Lagos;2020-08-01;  140;  4047;  41;0,10;0,00;1,00;10% (0% - 100%)
Los Ríos;2020-08-01;    1;   905;  14;0,23;0,00;1,00;23% (0% - 100%)
Magallanes;2020-08-01;   20;  1782;  28;0,37;0,00;1,00;37% (0% - 100%)
Maule;2020-08-01;   61;  9103; 178;0,41;0,24;0,76;41% (24% - 76%)
Metropolitana;2020-08-01;  787;256628;7599;0,56;0,50;0,50;56% (50% - 50%)
Ñuble;2020-08-01;   27;  3556;  62;0,42;0,17;0,83;42% (17% - 83%)
O’Higgins;2020-08-01;   88; 10699; 238;0,47;0,33;0,67;47% (33% - 67%)
Tarapacá;2020-08-01;   66;  8863; 168;0,41;0,24;0,76;41% (24% - 76%)
Valparaíso;2020-08-01;  187; 17767; 507;0,58;0,49;0,51;58% (49% - 51%)
Antofagasta;2020-07-31;  168; 14754; 347;0,50;0,38;0,62;50% (38% - 62%)
Araucanía;2020-07-31;   48;  4097;  78;0,48;0,29;0,71;48% (29% - 71%)
Arica y Parinacota;2020-07-31;   86;  4343;  58;0,27;0,00;1,00;27% (0% - 100%)
Biobío;2020-07-31;  182; 11317; 119;0,00;0,00;1,00;0% (0% - 100%)
Coquimbo;2020-07-31;  173;  6333;  69;0,06;0,00;1,00;6% (0% - 100%)
Los Lagos;2020-07-31;  122;  3907;  39;0,09;0,00;1,00;9% (0% - 100%)
Los Ríos;2020-07-31;    6;   904;  14;0,23;0,00;1,00;23% (0% - 100%)
Magallanes;2020-07-31;   19;  1762;  28;0,38;0,00;1,00;38% (0% - 100%)
Maule;2020-07-31;   99;  9042; 176;0,41;0,25;0,75;41% (25% - 75%)
Metropolitana;2020-07-31;  821;255841;7554;0,55;0,50;0,50;55% (50% - 50%)
Ñuble;2020-07-31;   25;  3529;  62;0,42;0,18;0,82;42% (18% - 82%)
O’Higgins;2020-07-31;   92; 10611; 236;0,47;0,34;0,66;47% (34% - 66%)
Tarapacá;2020-07-31;   33;  8797; 166;0,42;0,24;0,76;42% (24% - 76%)
Valparaíso;2020-07-31;  151; 17580; 497;0,58;0,49;0,51;58% (49% - 51%)
Antofagasta;2020-07-30;   76; 14586; 341;0,50;0,38;0,62;50% (38% - 62%)
Araucanía;2020-07-30;   26;  4049;  77;0,48;0,29;0,71;48% (29% - 71%)
Arica y Parinacota;2020-07-30;   98;  4257;  56;0,27;0,00;1,00;27% (0% - 100%)
Biobío;2020-07-30;  155; 11135; 114;0,00;0,00;1,00;0% (0% - 100%)
Coquimbo;2020-07-30;  104;  6160;  66;0,04;0,00;1,00;4% (0% - 100%)
Los Lagos;2020-07-30;   83;  3785;  36;0,05;0,00;1,00;5% (0% - 100%)
Los Ríos;2020-07-30;    7;   898;  13;0,18;0,00;1,00;18% (0% - 100%)
Magallanes;2020-07-30;   56;  1743;  28;0,38;0,00;1,00;38% (0% - 100%)
Maule;2020-07-30;  113;  8943; 174;0,42;0,25;0,75;42% (25% - 75%)
Metropolitana;2020-07-30;  666;255020;7515;0,55;0,49;0,51;55% (49% - 51%)
Ñuble;2020-07-30;   25;  3504;  61;0,42;0,17;0,83;42% (17% - 83%)
O’Higgins;2020-07-30;  104; 10519; 228;0,46;0,32;0,68;46% (32% - 68%)
Tarapacá;2020-07-30;  116;  8764; 162;0,41;0,23;0,77;41% (23% - 77%)
Valparaíso;2020-07-30;  173; 17429; 492;0,58;0,49;0,51;58% (49% - 51%)
Antofagasta;2020-07-29;  139; 14510; 335;0,50;0,38;0,62;50% (38% - 62%)
Araucanía;2020-07-29;   45;  4023;  77;0,49;0,30;0,70;49% (30% - 70%)
Arica y Parinacota;2020-07-29;   99;  4159;  51;0,22;0,00;1,00;22% (0% - 100%)
Biobío;2020-07-29;  144; 10980; 111;0,00;0,00;1,00;0% (0% - 100%)
Coquimbo;2020-07-29;  143;  6056;  63;0,02;0,00;1,00;2% (0% - 100%)
Los Lagos;2020-07-29;   67;  3702;  34;0,02;0,00;1,00;2% (0% - 100%)
Los Ríos;2020-07-29;    4;   891;  13;0,19;0,00;1,00;19% (0% - 100%)
Magallanes;2020-07-29;    4;  1687;  28;0,38;0,01;0,99;38% (1% - 99%)
Maule;2020-07-29;  112;  8830; 164;0,39;0,21;0,79;39% (21% - 79%)
Metropolitana;2020-07-29;  666;254354;7477;0,55;0,49;0,51;55% (49% - 51%)
Ñuble;2020-07-29;   30;  3479;  60;0,42;0,17;0,83;42% (17% - 83%)
O’Higgins;2020-07-29;   87; 10415; 220;0,45;0,31;0,69;45% (31% - 69%)
Tarapacá;2020-07-29;   63;  8648; 160;0,41;0,23;0,77;41% (23% - 77%)
