region;underreporting_estimate;lower;upper;underreporting_estimate_clean
Valparaíso;0,580;0,490; 0,650;58% (49% - 65%)
Metropolitana;0,550;0,500; 0,610;55% (50% - 61%)
Antofagasta;0,490;0,370; 0,590;49% (37% - 59%)
O’Higgins;0,470;0,330; 0,580;47% (33% - 58%)
Araucanía;0,460;0,260; 0,600;46% (26% - 60%)
Maule;0,410;0,240; 0,540;41% (24% - 54%)
Tarapacá;0,360;0,170; 0,510;36% (17% - 51%)
Ñuble;0,350;0,073; 0,540;35% (7.3% - 54%)
Magallanes;0,330;0,000; 0,570;33% (0% - 57%)
Arica y Parinacota;0,250;0,000; 0,480;25% (0% - 48%)
Los Ríos;0,180;0,000; 0,560;18% (0% - 56%)
Coquimbo;0,080;0,000; 0,340;8% (0% - 34%)
Los Lagos;0,036;0,000; 0,360;3.6% (0% - 36%)
Atacama;0,000;0,000;-0,096;0% (0% - -9.6%)
Biobío;0,000;0,000; 0,190;0% (0% - 19%)
