codigo_region,region,codigo_comuna,comuna,fecha,positivos_acumulados
15,Arica y Parinacota,15101,Arica,3/15/2020,0
15,Arica y Parinacota,15102,Camarones,3/15/2020,-
15,Arica y Parinacota,15202,General Lagos,3/15/2020,-
15,Arica y Parinacota,15201,Putre,3/15/2020,-
1,Tarapacá,1107,Alto Hospicio,3/15/2020,-
1,Tarapacá,1402,Camiña,3/15/2020,-
1,Tarapacá,1403,Colchane,3/15/2020,-
1,Tarapacá,1404,Huara,3/15/2020,-
1,Tarapacá,1101,Iquique,3/15/2020,0
1,Tarapacá,1405,Pica,3/15/2020,-
1,Tarapacá,1401,Pozo Almonte,3/15/2020,-
2,Antofagasta,2101,Antofagasta,3/15/2020,2
2,Antofagasta,2201,Calama,3/15/2020,-
2,Antofagasta,2302,María Elena,3/15/2020,-
2,Antofagasta,2102,Mejillones,3/15/2020,-
2,Antofagasta,2202,Ollagüe,3/15/2020,-
2,Antofagasta,2203,San Pedro de Atacama,3/15/2020,-
2,Antofagasta,2103,Sierra Gorda,3/15/2020,-
2,Antofagasta,2104,Taltal,3/15/2020,-
2,Antofagasta,2301,Tocopilla,3/15/2020,-
3,Atacama,3302,Alto del Carmen,3/15/2020,-
3,Atacama,3102,Caldera,3/15/2020,-
3,Atacama,3201,Chañaral,3/15/2020,-
3,Atacama,3101,Copiapó,3/15/2020,-
3,Atacama,3202,Diego de Almagro,3/15/2020,-
3,Atacama,3303,Freirina,3/15/2020,-
3,Atacama,3304,Huasco,3/15/2020,-
3,Atacama,3103,Tierra Amarilla,3/15/2020,-
3,Atacama,3301,Vallenar,3/15/2020,-
4,Coquimbo,4103,Andacollo,3/15/2020,-
4,Coquimbo,4202,Canela,3/15/2020,-
4,Coquimbo,4302,Combarbalá,3/15/2020,-
4,Coquimbo,4102,Coquimbo,3/15/2020,0
4,Coquimbo,4201,Illapel,3/15/2020,-
4,Coquimbo,4104,La Higuera,3/15/2020,-
4,Coquimbo,4101,La Serena,3/15/2020,-
4,Coquimbo,4203,Los Vilos,3/15/2020,-
4,Coquimbo,4303,Monte Patria,3/15/2020,-
4,Coquimbo,4301,Ovalle,3/15/2020,0
4,Coquimbo,4105,Paiguano,3/15/2020,-
4,Coquimbo,4304,Punitaqui,3/15/2020,-
4,Coquimbo,4305,Río Hurtado,3/15/2020,-
4,Coquimbo,4204,Salamanca,3/15/2020,-
4,Coquimbo,4106,Vicuña,3/15/2020,-
5,Valparaíso,5602,Algarrobo,3/15/2020,0
5,Valparaíso,5402,Cabildo,3/15/2020,-
5,Valparaíso,5502,Calera,3/15/2020,0
5,Valparaíso,5302,Calle Larga,3/15/2020,-
5,Valparaíso,5603,Cartagena,3/15/2020,-
5,Valparaíso,5102,Casablanca,3/15/2020,-
5,Valparaíso,5702,Catemu,3/15/2020,-
5,Valparaíso,5103,Concón,3/15/2020,-
5,Valparaíso,5604,El Quisco,3/15/2020,-
5,Valparaíso,5605,El Tabo,3/15/2020,-
5,Valparaíso,5503,Hijuelas,3/15/2020,-
5,Valparaíso,5201,Isla de Pascua,3/15/2020,-
5,Valparaíso,5104,Juan Fernández,3/15/2020,-
5,Valparaíso,5504,La Cruz,3/15/2020,-
5,Valparaíso,5401,La Ligua,3/15/2020,-
5,Valparaíso,5802,Limache,3/15/2020,-
5,Valparaíso,5703,Llaillay,3/15/2020,-
5,Valparaíso,5301,Los Andes,3/15/2020,-
5,Valparaíso,5506,Nogales,3/15/2020,-
5,Valparaíso,5803,Olmué,3/15/2020,-
5,Valparaíso,5704,Panquehue,3/15/2020,-
5,Valparaíso,5403,Papudo,3/15/2020,-
5,Valparaíso,5404,Petorca,3/15/2020,-
5,Valparaíso,5105,Puchuncaví,3/15/2020,-
5,Valparaíso,5705,Putaendo,3/15/2020,-
5,Valparaíso,5501,Quillota,3/15/2020,0
5,Valparaíso,5801,Quilpué,3/15/2020,0
5,Valparaíso,5107,Quintero,3/15/2020,-
5,Valparaíso,5303,Rinconada,3/15/2020,-
5,Valparaíso,5601,San Antonio,3/15/2020,-
5,Valparaíso,5304,San Esteban,3/15/2020,-
5,Valparaíso,5701,San Felipe,3/15/2020,-
5,Valparaíso,5706,Santa María,3/15/2020,-
5,Valparaíso,5606,Santo Domingo,3/15/2020,-
5,Valparaíso,5101,Valparaíso,3/15/2020,0
5,Valparaíso,5804,Villa Alemana,3/15/2020,0
5,Valparaíso,5109,Viña del Mar,3/15/2020,0
5,Valparaíso,5405,Zapallar,3/15/2020,-
13,Metropolitana,13502,Alhué,3/15/2020,-
13,Metropolitana,13402,Buin,3/15/2020,0
13,Metropolitana,13403,Calera de Tango,3/15/2020,0
13,Metropolitana,13102,Cerrillos,3/15/2020,-
13,Metropolitana,13103,Cerro Navia,3/15/2020,1
13,Metropolitana,13301,Colina,3/15/2020,1
13,Metropolitana,13104,Conchalí,3/15/2020,1
13,Metropolitana,13503,Curacaví,3/15/2020,0
13,Metropolitana,13105,El Bosque,3/15/2020,1
13,Metropolitana,13602,El Monte,3/15/2020,-
13,Metropolitana,13106,Estación Central,3/15/2020,1
13,Metropolitana,13107,Huechuraba,3/15/2020,1
13,Metropolitana,13108,Independencia,3/15/2020,1
13,Metropolitana,13603,Isla de Maipo,3/15/2020,-
13,Metropolitana,13109,La Cisterna,3/15/2020,0
13,Metropolitana,13110,La Florida,3/15/2020,2
13,Metropolitana,13111,La Granja,3/15/2020,0
13,Metropolitana,13112,La Pintana,3/15/2020,-
13,Metropolitana,13113,La Reina,3/15/2020,1
13,Metropolitana,13302,Lampa,3/15/2020,0
13,Metropolitana,13114,Las Condes,3/15/2020,8
13,Metropolitana,13115,Lo Barnechea,3/15/2020,3
13,Metropolitana,13116,Lo Espejo,3/15/2020,0
13,Metropolitana,13117,Lo Prado,3/15/2020,1
13,Metropolitana,13118,Macul,3/15/2020,0
13,Metropolitana,13119,Maipú,3/15/2020,2
13,Metropolitana,13504,María Pinto,3/15/2020,-
13,Metropolitana,13501,Melipilla,3/15/2020,0
13,Metropolitana,13120,Ñuñoa,3/15/2020,3
13,Metropolitana,13604,Padre Hurtado,3/15/2020,0
13,Metropolitana,13404,Paine,3/15/2020,-
13,Metropolitana,13121,Pedro Aguirre Cerda,3/15/2020,0
13,Metropolitana,13605,Peñaflor,3/15/2020,0
13,Metropolitana,13122,Peñalolén,3/15/2020,1
13,Metropolitana,13202,Pirque,3/15/2020,-
13,Metropolitana,13123,Providencia,3/15/2020,3
13,Metropolitana,13124,Pudahuel,3/15/2020,1
13,Metropolitana,13201,Puente Alto,3/15/2020,2
13,Metropolitana,13125,Quilicura,3/15/2020,1
13,Metropolitana,13126,Quinta Normal,3/15/2020,1
13,Metropolitana,13127,Recoleta,3/15/2020,1
13,Metropolitana,13128,Renca,3/15/2020,0
13,Metropolitana,13401,San Bernardo,3/15/2020,1
13,Metropolitana,13129,San Joaquín,3/15/2020,1
13,Metropolitana,13203,San José de Maipo,3/15/2020,-
13,Metropolitana,13130,San Miguel,3/15/2020,1
13,Metropolitana,13505,San Pedro,3/15/2020,-
13,Metropolitana,13131,San Ramón,3/15/2020,-
13,Metropolitana,13101,Santiago,3/15/2020,5
13,Metropolitana,13601,Talagante,3/15/2020,-
13,Metropolitana,13303,Tiltil,3/15/2020,-
13,Metropolitana,13132,Vitacura,3/15/2020,3
6,O’Higgins,6302,Chépica,3/15/2020,-
6,O’Higgins,6303,Chimbarongo,3/15/2020,-
6,O’Higgins,6102,Codegua,3/15/2020,-
6,O’Higgins,6103,Coinco,3/15/2020,-
6,O’Higgins,6104,Coltauco,3/15/2020,-
6,O’Higgins,6105,Doñihue,3/15/2020,-
6,O’Higgins,6106,Graneros,3/15/2020,-
6,O’Higgins,6202,La Estrella,3/15/2020,-
6,O’Higgins,6107,Las Cabras,3/15/2020,-
6,O’Higgins,6203,Litueche,3/15/2020,-
6,O’Higgins,6304,Lolol,3/15/2020,-
6,O’Higgins,6108,Machalí,3/15/2020,-
6,O’Higgins,6109,Malloa,3/15/2020,-
6,O’Higgins,6204,Marchihue,3/15/2020,-
6,O’Higgins,6110,Mostazal,3/15/2020,-
6,O’Higgins,6305,Nancagua,3/15/2020,-
6,O’Higgins,6205,Navidad,3/15/2020,-
6,O’Higgins,6111,Olivar,3/15/2020,-
6,O’Higgins,6306,Palmilla,3/15/2020,-
6,O’Higgins,6206,Paredones,3/15/2020,-
6,O’Higgins,6307,Peralillo,3/15/2020,-
6,O’Higgins,6112,Peumo,3/15/2020,-
6,O’Higgins,6113,Pichidegua,3/15/2020,-
6,O’Higgins,6201,Pichilemu,3/15/2020,-
6,O’Higgins,6308,Placilla,3/15/2020,-
6,O’Higgins,6309,Pumanque,3/15/2020,-
6,O’Higgins,6114,Quinta de Tilcoco,3/15/2020,-
6,O’Higgins,6101,Rancagua,3/15/2020,0
6,O’Higgins,6115,Rengo,3/15/2020,-
6,O’Higgins,6116,Requínoa,3/15/2020,-
6,O’Higgins,6301,San Fernando,3/15/2020,-
6,O’Higgins,6117,San Vicente,3/15/2020,-
6,O’Higgins,6310,Santa Cruz,3/15/2020,-
7,Maule,7201,Cauquenes,3/15/2020,-
7,Maule,7202,Chanco,3/15/2020,-
7,Maule,7402,Colbún,3/15/2020,-
7,Maule,7102,Constitución,3/15/2020,-
7,Maule,7103,Curepto,3/15/2020,-
7,Maule,7301,Curicó,3/15/2020,1
7,Maule,7104,Empedrado,3/15/2020,-
7,Maule,7302,Hualañé,3/15/2020,-
7,Maule,7303,Licantén,3/15/2020,-
7,Maule,7401,Linares,3/15/2020,1
7,Maule,7403,Longaví,3/15/2020,-
7,Maule,7105,Maule,3/15/2020,-
7,Maule,7304,Molina,3/15/2020,-
7,Maule,7404,Parral,3/15/2020,1
7,Maule,7106,Pelarco,3/15/2020,-
7,Maule,7203,Pelluhue,3/15/2020,-
7,Maule,7107,Pencahue,3/15/2020,-
7,Maule,7305,Rauco,3/15/2020,-
7,Maule,7405,Retiro,3/15/2020,-
7,Maule,7108,Río Claro,3/15/2020,-
7,Maule,7306,Romeral,3/15/2020,-
7,Maule,7307,Sagrada Familia,3/15/2020,-
7,Maule,7109,San Clemente,3/15/2020,-
7,Maule,7406,San Javier,3/15/2020,-
7,Maule,7110,San Rafael,3/15/2020,-
7,Maule,7101,Talca,3/15/2020,6
7,Maule,7308,Teno,3/15/2020,-
7,Maule,7309,Vichuquén,3/15/2020,-
7,Maule,7407,Villa Alegre,3/15/2020,-
7,Maule,7408,Yerbas Buenas,3/15/2020,-
16,Ñuble,16102,Bulnes,3/15/2020,0
16,Ñuble,16101,Chillán,3/15/2020,2
16,Ñuble,16103,Chillán Viejo,3/15/2020,0
16,Ñuble,16202,Cobquecura,3/15/2020,-
16,Ñuble,16203,Coelemu,3/15/2020,-
16,Ñuble,16302,Coihueco,3/15/2020,-
16,Ñuble,16104,El Carmen,3/15/2020,-
16,Ñuble,16204,Ninhue,3/15/2020,-
16,Ñuble,16303,Ñiquén,3/15/2020,-
16,Ñuble,16105,Pemuco,3/15/2020,-
16,Ñuble,16106,Pinto,3/15/2020,-
16,Ñuble,16205,Portezuelo,3/15/2020,-
16,Ñuble,16107,Quillón,3/15/2020,0
16,Ñuble,16201,Quirihue,3/15/2020,-
16,Ñuble,16206,Ránquil,3/15/2020,-
16,Ñuble,16301,San Carlos,3/15/2020,0
16,Ñuble,16304,San Fabián,3/15/2020,-
16,Ñuble,16108,San Ignacio,3/15/2020,-
16,Ñuble,16305,San Nicolás,3/15/2020,-
16,Ñuble,16207,Treguaco,3/15/2020,-
16,Ñuble,16109,Yungay,3/15/2020,-
8,Biobío,8314,Alto Biobío,3/15/2020,-
8,Biobío,8302,Antuco,3/15/2020,-
8,Biobío,8202,Arauco,3/15/2020,-
8,Biobío,8303,Cabrero,3/15/2020,-
8,Biobío,8203,Cañete,3/15/2020,-
8,Biobío,8103,Chiguayante,3/15/2020,0
8,Biobío,8101,Concepción,3/15/2020,0
8,Biobío,8204,Contulmo,3/15/2020,-
8,Biobío,8102,Coronel,3/15/2020,-
8,Biobío,8205,Curanilahue,3/15/2020,-
8,Biobío,8104,Florida,3/15/2020,-
8,Biobío,8112,Hualpén,3/15/2020,-
8,Biobío,8105,Hualqui,3/15/2020,-
8,Biobío,8304,Laja,3/15/2020,-
8,Biobío,8201,Lebu,3/15/2020,-
8,Biobío,8206,Los Álamos,3/15/2020,-
8,Biobío,8301,Los Ángeles,3/15/2020,0
8,Biobío,8106,Lota,3/15/2020,-
8,Biobío,8305,Mulchén,3/15/2020,-
8,Biobío,8306,Nacimiento,3/15/2020,-
8,Biobío,8307,Negrete,3/15/2020,-
8,Biobío,8107,Penco,3/15/2020,-
8,Biobío,8308,Quilaco,3/15/2020,-
8,Biobío,8309,Quilleco,3/15/2020,-
8,Biobío,8108,San Pedro de la Paz,3/15/2020,0
8,Biobío,8310,San Rosendo,3/15/2020,-
8,Biobío,8311,Santa Bárbara,3/15/2020,-
8,Biobío,8109,Santa Juana,3/15/2020,-
8,Biobío,8110,Talcahuano,3/15/2020,-
8,Biobío,8207,Tirúa,3/15/2020,-
8,Biobío,8111,Tomé,3/15/2020,0
8,Biobío,8312,Tucapel,3/15/2020,-
8,Biobío,8313,Yumbel,3/15/2020,0
9,Araucanía,9201,Angol,3/15/2020,0
9,Araucanía,9102,Carahue,3/15/2020,-
9,Araucanía,9121,Cholchol,3/15/2020,-
9,Araucanía,9202,Collipulli,3/15/2020,-
9,Araucanía,9103,Cunco,3/15/2020,-
9,Araucanía,9203,Curacautín,3/15/2020,-
9,Araucanía,9104,Curarrehue,3/15/2020,-
9,Araucanía,9204,Ercilla,3/15/2020,-
9,Araucanía,9105,Freire,3/15/2020,-
9,Araucanía,9106,Galvarino,3/15/2020,-
9,Araucanía,9107,Gorbea,3/15/2020,0
9,Araucanía,9108,Lautaro,3/15/2020,-
9,Araucanía,9109,Loncoche,3/15/2020,-
9,Araucanía,9205,Lonquimay,3/15/2020,-
9,Araucanía,9206,Los Sauces,3/15/2020,-
9,Araucanía,9207,Lumaco,3/15/2020,-
9,Araucanía,9110,Melipeuco,3/15/2020,-
9,Araucanía,9111,Nueva Imperial,3/15/2020,-
9,Araucanía,9112,Padre Las Casas,3/15/2020,0
