fecha,encuestados,responden,camas_total_intensivo,camas_total_intermedio,vmi_totales,hospitalizados_intensivo,hospitalizados_intermedio,hospitalizados_en_vmi,covid_en_upc,covid_en_vmi,sospecha_en_vmi,rm_en_vmi_upca,rm_covid_en_vmi_upca,rm_covid_en_vmi_fuera_upca,covid_ecmo,covid_prono,covid_intubados_24,covid_extubados_24,covid_fallecidos_24,covid_vmi_fallecidos_24
2020-04-07,122,95,1156,1119,1290,696,710,530,370,255,22,254,110,,,,,,,
2020-04-08,122,110,1374,1393,1454,854,860,663,409,313,33,293,133,,,,,,,
2020-04-09,122,110,1326,1326,1426,799,858,615,409,286,28,269,122,,,,,,,
2020-04-10,122,112,1400,1417,1557,868,930,702,432,314,36,336,136,,,,,,,
2020-04-11,120,117,1446,1478,1623,916,976,696,475,323,29,336,136,,,,,,,
2020-04-12,120,118,1468,1481,1635,951,926,720,481,318,39,345,156,,,,,,,
2020-04-13,120,118,1479,1496,1623,962,923,685,480,335,39,321,169,,,,,,,
2020-04-14,120,118,1472,1568,1668,969,964,725,481,314,36,354,151,,,,,,,
2020-04-15,120,118,1466,1586,1683,959,1016,692,488,314,32,338,156,,,,,,,
2020-04-16,120,116,1484,1566,1668,959,1057,706,467,316,29,339,157,,,,,,,
2020-04-17,120,116,1480,1550,1684,957,1060,703,502,332,23,338,169,,0,58,,24,3,
2020-04-18,120,117,1504,1539,1688,954,1017,718,516,352,29,354,187,,0,57,,17,2,
2020-04-19,120,117,1510,1552,1698,971,1025,707,518,337,42,353,177,,,,,,,
2020-04-20,120,118,1543,1549,1722,999,1057,705,528,324,43,378,178,,0,56,,34,14,
2020-04-21,120,118,1543,1549,1722,982,1062,698,511,321,33,367,179,,1,50,,20,6,
2020-04-22,120,119,1549,1564,1700,1010,1080,701,570,338,34,375,187,,1,65,,23,3,
2020-04-23,120,119,1539,1577,1700,1014,1112,722,539,330,30,388,194,,0,60,,23,2,
2020-04-24,121,118,1529,1564,1707,993,1083,713,546,331,27,376,195,,0,51,,17,4,
2020-04-25,121,120,1579,1576,1743,1021,1113,724,541,326,33,376,197,,0,59,,12,5,
2020-04-26,121,119,1529,1580,1710,998,1104,720,541,327,33,372,195,,1,66,,15,1,
2020-04-27,122,119,1533,1580,1722,1009,1119,736,516,314,35,371,185,,0,59,,19,5,
2020-04-28,122,120,1548,1583,1704,1014,1141,752,531,317,31,387,198,,3,57,,25,8,
2020-04-29,122,120,1552,1576,1735,1054,1104,750,542,332,26,379,202,,3,57,,14,5,
2020-04-30,122,120,1556,1574,1741,1028,1162,729,530,327,31,373,200,,5,59,,23,5,
2020-05-01,122,120,1577,1569,1725,1035,1169,726,570,340,37,400,213,,5,54,,18,5,
2020-05-02,122,120,1585,1578,1748,1069,1198,760,609,362,44,410,237,,6,51,,15,4,
2020-05-03,122,120,1577,1569,1735,1072,1164,797,637,380,36,437,256,,6,66,,14,4,
2020-05-04,122,122,1618,1646,1758,1136,1239,823,659,389,44,456,267,,6,68,,17,9,
2020-05-05,122,122,1617,1656,1765,1160,1247,849,676,406,48,477,282,,7,75,27,14,4,3
