codigo,region,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020,08/06/2020,08/07/2020,08/08/2020,08/09/2020,08/10/2020
15,Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,8,8,8,10,10,10,10,11,11,11,11,12,12,12,12,12,12,15,16,19,20,20,20,20,20,21,22,22,22,22,22,24,24,26,26,28,28,28,31,32,34,35,36,40,40,40,41,43,46,47,51,51,51,56,58,60,63,68,68,68,73,74,76,77,78
1,Tarapacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,5,5,7,7,8,11,12,14,18,21,22,23,28,28,28,30,35,35,35,46,46,48,52,58,58,58,67,68,71,79,80,80,80,84,85,85,88,91,91,91,91,95,96,98,102,102,102,105,107,107,108,111,111,111,115,117,139,140,141,144,144,144,150,150,153,155,159,160,160,162,166,168,170,173,173,173,177,178,180,181,182
2,Antofagasta,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,5,7,7,7,7,7,7,7,9,10,10,10,10,11,11,12,12,13,14,16,17,17,17,21,21,21,23,25,28,28,29,31,32,34,36,38,42,47,44,45,45,56,57,65,67,72,72,72,81,87,93,94,100,100,100,113,122,128,142,147,147,147,147,163,171,174,183,183,183,197,203,216,218,224,225,228,232,236,271,279,280,293,293,298,305,310,316,328,332,334,335,341,347,352,353,358,358,361,367,372,376,378,381
3,Atacama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,7,7,9,9,9,9,9,10,10,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,12,13,13,14,14,16,19,19,19,21
4,Coquimbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,4,5,5,6,7,7,8,10,10,10,12,15,16,16,17,17,17,18,22,23,23,23,23,23,23,24,24,26,26,26,26,27,29,29,31,33,33,33,42,42,49,52,53,54,54,54,59,60,62,62,63,63,63,66,69,74,74,75,75,76,80,81,83,84,86
5,Valparaíso,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,5,5,6,7,7,8,9,9,9,10,12,12,12,13,13,13,15,16,17,18,19,20,21,23,24,25,27,28,29,30,32,35,38,40,44,48,53,57,58,60,61,63,66,70,72,77,78,88,91,83,85,85,99,107,118,120,125,126,126,141,143,150,158,170,170,170,187,195,204,217,229,229,230,230,252,266,278,292,292,292,303,312,320,326,331,331,331,347,363,407,413,414,427,427,428,441,451,460,464,470,471,471,492,497,507,513,522,522,524,542,547,551,564,569
13,Metropolitana,5,6,8,9,10,10,12,14,21,29,32,35,36,40,41,48,51,58,63,67,69,78,85,86,89,91,95,100,104,110,114,122,135,143,146,150,152,157,163,166,172,178,184,202,221,246,270,294,318,348,388,423,455,494,529,567,595,638,685,728,775,824,894,961,1034,1105,1184,1884,1950,1968,2115,2273,2468,2681,2878,2913,2934,3114,3319,3545,3715,3870,3892,3895,4065,4206,4342,4584,4711,4777,4889,4954,5055,5145,5251,5328,5401,5451,5533,5610,5673,5746,5814,5858,5898,5957,6027,6858,6924,6975,7053,7096,7133,7192,7241,7303,7353,7400,7444,7477,7515,7554,7599,7649,7700,7735,7774,7808,7847,7881,7909,7946
6,O’Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,7,7,7,8,11,11,13,13,14,14,14,16,18,18,18,20,21,22,25,20,22,23,26,28,30,32,33,35,35,41,44,46,50,52,52,52,59,63,65,68,69,69,69,69,77,83,89,92,92,92,104,109,113,119,123,123,123,134,139,164,172,173,183,183,183,197,201,209,218,220,220,220,228,236,238,244,252,252,252,260,263,265,270,280
7,Maule,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,7,8,8,10,10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,17,17,19,21,24,24,18,18,18,18,19,19,20,23,23,23,24,25,27,32,33,33,33,36,36,39,41,48,48,48,48,53,59,65,70,73,73,78,81,86,91,94,94,94,96,99,125,127,127,131,131,131,135,136,145,154,160,164,164,174,176,178,182,193,193,193,195,197,204,203,203
16,Ñuble,0,0,1,2,3,4,5,5,6,6,6,7,7,8,8,10,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,16,16,17,17,17,17,18,18,18,18,19,19,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,23,23,23,23,24,24,24,24,18,18,18,20,20,20,22,22,22,22,24,24,25,27,28,28,28,29,30,31,31,32,32,32,32,33,33,33,33,33,33,35,36,37,38,40,40,40,40,40,52,53,53,54,54,54,56,59,60,60,60,60,60,61,62,62,62,63,63,63,65,68,69,69,69
8,Biobío,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,13,13,13,11,11,11,11,12,14,16,18,19,19,25,28,31,32,34,35,35,40,42,45,46,50,50,50,50,58,59,61,64,64,64,65,67,68,72,73,73,75,80,82,95,95,96,99,100,102,103,103,104,105,106,107,111,114,119,120,120,124,125,127,131,132,135,139,140
9,Araucanía,6,7,7,9,13,14,14,15,16,16,17,17,17,20,21,21,22,23,23,23,25,26,26,26,27,29,32,32,32,35,36,36,36,36,36,36,36,36,36,37,38,39,39,41,43,43,44,44,44,44,44,45,45,45,45,45,45,45,47,47,47,47,47,47,47,48,49,31,32,32,33,34,35,36,36,36,36,36,37,38,39,39,39,39,40,40,40,40,41,41,41,41,41,44,44,45,45,45,46,47,47,47,48,48,48,49,49,71,71,71,71,71,71,74,74,76,77,77,77,77,77,78,78,79,79,79,79,81,82,83,83,83
