fecha,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O'Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020-03-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020-03-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-03-28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020-03-30,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3
2020-03-31,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,5
2020-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-04-02,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,6
2020-04-03,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,1,7
2020-04-04,0,0,0,0,0,0,1,0,0,1,0,4,0,2,0,0,8
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-04-06,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,5
2020-04-07,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,6
2020-04-08,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,11
2020-04-09,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,9
2020-04-10,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,7
2020-04-11,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,8
2020-04-12,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,4
2020-04-13,0,0,0,0,0,0,6,0,1,1,0,1,0,0,0,1,10
2020-04-14,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4
2020-04-15,0,0,0,0,0,1,6,0,1,2,1,0,0,0,0,0,11
2020-04-16,1,0,0,0,0,0,1,0,1,2,0,2,0,1,0,0,8
2020-04-17,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,6
2020-04-18,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,6
2020-04-19,0,0,0,0,0,0,7,0,1,0,1,1,0,0,0,0,10
2020-04-20,0,0,0,0,0,1,5,1,0,0,0,2,0,0,0,1,10
2020-04-21,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,11
2020-04-22,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5
2020-04-23,0,0,0,0,0,1,3,0,0,1,1,0,0,1,0,1,8
2020-04-24,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,8
2020-04-25,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,1,7
2020-04-26,0,0,0,0,0,1,7,0,1,0,0,3,0,0,0,1,13
2020-04-27,1,0,0,0,0,1,9,0,1,0,0,0,1,1,0,0,14
2020-04-28,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,1,8
2020-04-29,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,8
2020-04-30,0,0,2,0,0,1,7,0,0,1,0,2,0,0,0,0,13
2020-05-01,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,11
2020-05-02,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
2020-05-03,0,0,0,0,0,4,12,0,0,1,1,0,0,0,0,0,18
2020-05-04,0,0,0,0,0,2,10,0,1,0,0,0,0,0,0,1,14
2020-05-05,1,0,0,0,0,0,11,0,0,1,0,0,1,0,0,0,14
2020-05-06,1,0,0,0,0,2,17,0,1,0,0,1,0,0,0,0,22
2020-05-07,0,0,1,0,0,3,23,0,0,0,1,0,1,0,0,2,31
2020-05-08,0,0,1,0,0,1,16,0,0,0,0,1,0,0,0,0,19
2020-05-09,0,0,0,0,1,1,28,1,0,0,0,1,0,1,0,0,33
2020-05-10,1,0,0,0,0,4,25,1,0,0,0,0,0,0,0,1,32
2020-05-11,0,0,0,0,0,4,18,0,0,1,1,0,1,0,0,0,25
2020-05-12,0,0,1,0,0,0,28,0,0,0,0,1,0,0,0,1,31
