edad,sexo,region,confirmados
< 1,Hombre,Arica,0
1 a 4,Hombre,Arica,0
5 a 9,Hombre,Arica,0
10 a 14,Hombre,Arica,2
15 a 19,Hombre,Arica,1
20 a 24,Hombre,Arica,2
25 a 29,Hombre,Arica,14
30 a 34,Hombre,Arica,14
35 a 39,Hombre,Arica,23
40 a 44,Hombre,Arica,32
45 a 49,Hombre,Arica,56
50 a 54,Hombre,Arica,98
55 a 59,Hombre,Arica,131
60 a 64,Hombre,Arica,189
65 a 69,Hombre,Arica,246
70 a 74,Hombre,Arica,268
75 a 79,Hombre,Arica,312
80 a 84,Hombre,Arica,267
85 a 89,Hombre,Arica,221
90 a 99,Hombre,Arica,105
100 +,Hombre,Arica,4
< 1,Mujer,Arica,2
1 a 4,Mujer,Arica,2
5 a 9,Mujer,Arica,0
10 a 14,Mujer,Arica,0
15 a 19,Mujer,Arica,0
20 a 24,Mujer,Arica,2
25 a 29,Mujer,Arica,6
30 a 34,Mujer,Arica,16
35 a 39,Mujer,Arica,6
40 a 44,Mujer,Arica,12
45 a 49,Mujer,Arica,21
50 a 54,Mujer,Arica,34
55 a 59,Mujer,Arica,73
60 a 64,Mujer,Arica,117
65 a 69,Mujer,Arica,129
70 a 74,Mujer,Arica,187
75 a 79,Mujer,Arica,238
80 a 84,Mujer,Arica,220
85 a 89,Mujer,Arica,212
90 a 99,Mujer,Arica,206
100 +,Mujer,Arica,11
< 1,Hombre,Tarapacá,0
1 a 4,Hombre,Tarapacá,0
5 a 9,Hombre,Tarapacá,0
10 a 14,Hombre,Tarapacá,2
15 a 19,Hombre,Tarapacá,1
20 a 24,Hombre,Tarapacá,2
25 a 29,Hombre,Tarapacá,14
30 a 34,Hombre,Tarapacá,14
35 a 39,Hombre,Tarapacá,23
40 a 44,Hombre,Tarapacá,32
45 a 49,Hombre,Tarapacá,56
50 a 54,Hombre,Tarapacá,98
55 a 59,Hombre,Tarapacá,131
60 a 64,Hombre,Tarapacá,189
65 a 69,Hombre,Tarapacá,246
70 a 74,Hombre,Tarapacá,268
75 a 79,Hombre,Tarapacá,312
80 a 84,Hombre,Tarapacá,267
85 a 89,Hombre,Tarapacá,221
90 a 99,Hombre,Tarapacá,105
100 +,Hombre,Tarapacá,4
< 1,Mujer,Tarapacá,2
1 a 4,Mujer,Tarapacá,2
5 a 9,Mujer,Tarapacá,0
