fecha,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O'Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-03-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4
2020-03-25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-27,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,6
2020-03-28,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,6
2020-03-29,0,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,7
2020-03-30,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,6
2020-03-31,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
2020-04-01,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,5
2020-04-02,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
2020-04-03,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,5
2020-04-04,0,0,1,0,0,1,6,0,0,0,0,0,0,1,0,0,9
2020-04-05,0,0,0,0,1,0,4,0,0,1,1,1,0,0,0,1,9
2020-04-06,0,0,0,0,0,2,4,0,1,0,1,2,0,0,0,0,10
2020-04-07,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,9
2020-04-08,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,5
2020-04-09,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-04-10,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,5
2020-04-11,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,6
2020-04-12,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,5
2020-04-13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
2020-04-14,0,0,1,0,0,0,4,0,2,0,0,2,1,1,0,1,12
2020-04-15,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,7
2020-04-16,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6
2020-04-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
2020-04-18,0,0,0,0,0,2,3,0,2,1,0,1,0,0,0,0,9
2020-04-19,0,0,2,0,0,2,3,0,4,0,0,1,2,0,0,0,14
2020-04-20,0,0,0,0,0,0,2,1,1,0,1,2,2,0,0,0,9
2020-04-21,0,0,0,0,1,4,2,1,1,0,1,1,0,0,0,0,11
2020-04-22,0,0,0,0,0,1,6,1,1,0,2,1,0,0,0,1,13
2020-04-23,0,0,0,0,0,0,5,0,3,0,2,0,1,0,0,1,12
2020-04-24,0,1,0,0,0,2,5,0,1,0,0,1,0,0,0,0,10
2020-04-25,1,0,0,0,0,4,5,1,1,0,2,0,0,0,0,1,15
2020-04-26,0,0,0,0,0,1,2,0,3,0,1,1,0,0,0,0,8
2020-04-27,0,0,0,0,0,2,7,0,0,0,2,0,0,0,0,1,12
2020-04-28,0,0,2,0,1,6,7,1,2,0,2,0,0,0,0,0,21
2020-04-29,0,0,1,0,0,1,2,0,2,0,2,1,0,1,0,0,10
2020-04-30,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,7
2020-05-01,0,1,0,0,1,2,4,1,2,0,1,0,0,1,0,0,13
2020-05-02,0,0,0,0,2,1,9,0,2,0,0,0,0,0,0,0,14
2020-05-03,1,0,1,0,0,4,9,0,0,0,0,3,0,1,0,0,19
2020-05-04,0,0,0,0,0,2,4,0,2,0,0,2,0,0,0,0,10
2020-05-05,1,0,1,1,0,1,2,1,1,0,2,0,1,2,0,0,13
2020-05-06,0,0,2,0,0,2,4,1,1,1,1,0,0,1,0,0,13
2020-05-07,0,0,0,0,1,2,7,0,0,0,2,1,0,0,0,1,14
2020-05-08,0,0,1,0,0,5,9,0,1,1,0,1,1,0,0,0,19
2020-05-09,0,0,0,0,0,2,10,1,2,0,1,0,0,0,0,1,17
2020-05-10,0,0,0,0,0,4,10,1,3,0,0,1,1,2,0,1,23
2020-05-11,0,0,2,0,1,6,8,0,0,0,3,1,0,0,0,0,21
2020-05-12,0,0,1,0,0,0,8,0,2,0,2,1,0,0,0,0,14
2020-05-13,0,0,0,0,1,3,17,0,4,0,3,0,0,0,0,0,28
2020-05-14,0,0,0,1,2,5,19,0,3,0,0,1,0,0,0,0,31
2020-05-15,0,0,0,0,1,1,5,2,0,1,1,0,0,0,0,0,11
2020-05-16,0,0,1,0,0,2,19,2,1,0,0,0,0,0,0,1,26
2020-05-17,0,1,0,0,1,8,21,0,1,1,1,1,0,0,0,1,36
2020-05-18,0,1,1,1,0,4,23,0,2,0,1,0,1,0,0,0,34
2020-05-19,0,0,1,0,0,2,19,0,1,1,1,2,0,0,0,0,27
2020-05-20,0,0,0,0,0,6,19,0,1,0,1,1,0,2,0,0,30
2020-05-21,0,1,1,0,0,1,26,1,4,0,1,1,0,2,0,1,39
2020-05-22,0,0,0,0,2,3,22,3,2,0,2,1,0,0,0,0,35
2020-05-23,1,0,0,1,0,3,32,1,2,0,3,1,0,0,0,1,45
2020-05-24,0,1,1,0,1,3,32,1,1,0,2,3,1,0,0,0,46
2020-05-25,0,0,0,0,1,4,42,1,3,0,0,2,1,1,0,0,55
2020-05-26,0,0,0,0,0,1,40,5,0,0,2,3,1,0,0,1,53
2020-05-27,0,0,1,0,1,7,40,3,1,0,0,3,0,1,0,0,57
2020-05-28,0,1,0,0,0,4,31,3,5,0,1,0,0,1,1,0,47
2020-05-29,0,2,0,0,1,5,42,4,3,1,0,0,0,0,1,1,60
2020-05-30,0,1,1,1,0,3,40,1,2,1,2,1,0,1,0,0,54
2020-05-31,0,1,2,0,1,2,46,3,2,1,1,3,0,0,0,0,62
2020-06-01,1,0,1,0,1,5,51,0,4,0,0,1,1,0,0,1,66
2020-06-02,1,1,0,0,1,2,50,1,5,0,3,0,0,3,0,1,68
2020-06-03,1,0,3,0,2,9,63,1,3,0,0,3,0,1,0,1,87
2020-06-04,1,0,2,0,1,1,44,3,3,0,1,3,0,2,0,0,61
2020-06-05,2,0,2,0,0,12,75,1,1,1,3,0,1,2,0,0,100
2020-06-06,0,0,3,1,0,5,78,4,5,1,1,1,2,0,0,0,101
2020-06-07,0,1,6,0,1,5,71,1,2,0,5,1,1,1,0,0,95
2020-06-08,0,1,3,1,0,7,66,3,8,1,1,4,2,0,0,0,97
2020-06-09,0,2,2,0,2,6,81,5,2,1,7,4,1,1,0,0,114
2020-06-10,1,2,4,0,0,8,78,1,8,0,5,3,1,2,0,3,116
2020-06-11,3,1,5,0,1,8,93,3,4,1,2,1,3,2,0,1,128
2020-06-12,1,4,11,0,1,5,79,8,2,1,6,1,3,4,0,1,127
2020-06-13,1,4,4,0,2,8,90,5,4,0,1,3,1,0,0,0,123
2020-06-14,0,3,9,2,1,12,112,7,1,0,7,3,0,1,1,0,159
2020-06-15,2,4,4,1,0,6,126,2,2,2,5,7,1,3,0,1,166
2020-06-16,0,0,10,2,2,9,132,3,1,0,3,4,0,2,0,1,169
2020-06-17,0,0,3,1,0,0,33,0,1,0,0,0,0,0,0,0,38
2020-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
