comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2020,4,4,7,3,2,,,,,,,
Alhué,2019,2,,5,3,2,6,2,,4,3,4,5
Alhué,2018,1,2,2,8,1,5,1,4,8,6,3,
Alhué,2017,3,4,2,4,3,3,1,2,6,1,2,2
Alhué,2016,5,,1,2,1,3,4,2,1,4,5,4
Alhué,2015,1,2,4,1,1,5,1,1,2,5,1,2
Alhué,2014,3,4,3,3,2,5,2,1,3,2,6,2
Alhué,2013,3,1,5,3,3,1,2,4,3,5,2,2
Alhué,2012,5,,3,2,3,6,1,1,2,3,3,2
Alhué,2011,2,2,2,1,3,2,5,3,2,2,2,2
Alhué,2010,4,3,3,,3,1,5,4,6,2,1,6
Alhué,2009,4,6,,1,1,1,1,3,2,4,2,2
Alhué,2008,2,2,2,,2,2,2,,2,,,4
Alhué,2007,3,2,1,2,1,4,2,3,,5,,
Alhué,2006,3,,4,2,2,2,1,3,3,3,3,2
Alhué,2005,2,1,1,5,2,4,6,3,3,1,2,4
Alhué,2004,2,1,1,4,2,3,,3,4,,2,6
Alhué,2003,1,,2,1,3,,2,1,2,2,2,4
Alhué,2002,1,2,3,1,3,2,4,1,2,4,1,1
Alhué,2001,3,1,,3,5,4,,1,,1,3,6
Alhué,2000,2,,1,2,2,5,1,3,2,4,2,4
Buin,2020,34,29,35,44,51,,,,,,,
Buin,2019,35,43,30,36,43,44,56,51,51,41,38,40
Buin,2018,24,25,35,47,30,50,32,40,37,33,41,38
Buin,2017,67,26,30,35,58,58,57,41,37,55,39,38
Buin,2016,37,41,39,26,32,32,32,42,32,32,35,36
Buin,2015,34,29,36,30,42,43,33,38,52,44,23,33
Buin,2014,33,31,31,37,33,42,35,44,31,36,35,29
Buin,2013,32,33,29,41,34,44,40,30,35,26,37,34
Buin,2012,37,29,32,28,39,24,32,31,32,41,32,25
Buin,2011,30,31,32,21,46,34,32,38,35,42,28,27
Buin,2010,29,30,24,30,39,26,54,35,26,34,35,30
Buin,2009,33,28,21,31,32,25,43,38,34,33,21,30
Buin,2008,36,16,28,38,31,27,26,27,27,29,28,28
Buin,2007,32,30,25,22,31,44,41,32,33,21,15,37
Buin,2006,22,17,23,32,23,23,30,29,35,24,24,30
Buin,2005,24,27,20,26,26,29,41,26,26,33,26,35
Buin,2004,23,15,26,32,22,47,40,27,25,31,28,21
Buin,2003,26,17,23,29,36,23,42,41,26,19,18,28
Buin,2002,21,20,25,18,38,28,28,23,28,27,25,16
Buin,2001,21,16,32,23,21,32,27,21,15,30,20,30
Buin,2000,22,29,22,18,19,42,22,21,26,16,21,27
Calera de Tango,2020,9,8,13,12,12,,,,,,,
Calera de Tango,2019,13,2,15,14,11,11,6,10,7,13,11,6
Calera de Tango,2018,6,14,13,9,9,15,9,9,9,11,8,9
Calera de Tango,2017,9,6,6,9,13,14,11,15,10,11,7,10
Calera de Tango,2016,6,6,7,11,8,7,9,14,9,11,6,6
Calera de Tango,2015,6,7,11,10,10,6,20,8,9,8,7,9
Calera de Tango,2014,10,6,10,7,12,13,15,9,15,7,6,10
Calera de Tango,2013,6,5,13,2,7,13,9,15,11,10,8,10
Calera de Tango,2012,5,6,9,8,11,15,8,9,13,18,9,6
Calera de Tango,2011,8,6,7,8,11,12,13,14,7,8,10,9
Calera de Tango,2010,8,8,2,10,6,4,7,11,11,6,7,16
Calera de Tango,2009,6,5,11,7,7,8,8,14,7,8,10,6
Calera de Tango,2008,10,12,8,9,5,10,8,10,8,3,12,12
Calera de Tango,2007,8,4,5,6,4,9,14,13,6,2,11,5
Calera de Tango,2006,4,5,4,3,9,7,5,9,8,5,8,7
Calera de Tango,2005,3,4,7,3,5,3,7,5,4,3,2,7
Calera de Tango,2004,4,7,7,1,7,10,8,3,2,8,8,2
Calera de Tango,2003,8,3,6,7,5,4,7,7,6,4,9,8
Calera de Tango,2002,3,3,8,5,6,3,5,4,4,7,5,6
Calera de Tango,2001,7,6,3,2,6,3,9,4,3,3,1,4
Calera de Tango,2000,7,6,8,3,6,7,3,3,8,3,3,5
Cerrillos,2020,46,33,33,30,50,,,,,,,
Cerrillos,2019,27,26,26,45,39,35,58,45,36,36,33,41
Cerrillos,2018,38,31,29,27,29,41,43,49,29,35,41,32
Cerrillos,2017,38,36,38,39,41,40,41,42,29,47,27,30
Cerrillos,2016,36,35,35,22,37,47,59,44,43,33,39,36
Cerrillos,2015,36,30,33,40,39,46,25,46,34,37,27,40
Cerrillos,2014,35,28,35,36,37,56,45,46,45,30,41,38
Cerrillos,2013,33,37,32,33,45,48,37,42,34,33,38,41
Cerrillos,2012,43,40,23,38,28,29,41,29,25,48,28,33
Cerrillos,2011,32,34,27,45,37,33,33,43,39,28,32,38
Cerrillos,2010,35,37,34,32,52,34,52,40,35,26,31,25
Cerrillos,2009,37,31,25,27,36,39,36,31,41,38,42,39
Cerrillos,2008,35,28,28,37,29,44,40,32,32,33,30,34
Cerrillos,2007,36,28,41,23,33,37,30,48,38,24,26,32
Cerrillos,2006,29,16,25,42,20,33,44,39,25,39,27,28
Cerrillos,2005,27,36,30,31,31,38,40,37,38,22,24,25
Cerrillos,2004,28,31,32,26,30,47,51,31,31,29,28,38
Cerrillos,2003,34,26,31,26,29,28,39,41,41,27,33,38
Cerrillos,2002,32,32,26,28,29,39,48,37,26,46,23,27
Cerrillos,2001,30,25,24,23,35,51,42,30,37,28,24,23
Cerrillos,2000,24,23,24,30,29,35,41,22,30,36,23,25
Cerro Navia,2020,66,54,86,75,154,,,,,,,
Cerro Navia,2019,64,78,60,83,76,97,95,84,85,66,83,52
Cerro Navia,2018,70,61,67,59,99,84,83,103,90,77,76,75
Cerro Navia,2017,76,58,62,65,90,87,99,93,85,74,65,76
Cerro Navia,2016,67,71,77,69,87,80,94,98,91,54,61,63
Cerro Navia,2015,74,53,71,60,79,102,73,87,81,81,59,63
Cerro Navia,2014,68,70,77,76,74,71,117,77,72,74,82,59
Cerro Navia,2013,75,67,64,81,79,86,97,89,70,74,68,63
Cerro Navia,2012,68,73,64,74,87,99,96,92,67,66,57,69
Cerro Navia,2011,83,65,57,73,73,98,100,78,65,71,60,68
Cerro Navia,2010,50,55,64,63,73,82,96,87,84,79,63,69
Cerro Navia,2009,74,56,62,56,82,77,93,83,70,80,74,74
Cerro Navia,2008,60,56,55,76,66,66,62,67,65,55,72,58
Cerro Navia,2007,64,56,58,70,88,90,95,80,84,85,66,55
Cerro Navia,2006,60,49,60,69,66,68,75,76,78,57,49,69
Cerro Navia,2005,58,53,63,57,73,75,79,69,71,59,55,59
Cerro Navia,2004,62,57,51,60,68,78,66,75,73,59,56,68
Cerro Navia,2003,75,52,42,80,67,62,75,89,51,59,57,58
Cerro Navia,2002,56,49,54,65,62,63,70,73,69,61,56,61
Cerro Navia,2001,63,42,58,62,60,79,70,55,71,62,63,52
Cerro Navia,2000,54,42,56,58,69,60,70,55,66,51,63,68
Colina,2020,41,33,38,46,75,,,,,,,
Colina,2019,41,35,35,52,32,53,54,45,52,44,45,39
Colina,2018,34,37,32,31,41,45,59,61,40,43,45,55
Colina,2017,32,32,32,35,46,42,61,60,39,39,28,37
Colina,2016,41,35,27,48,37,46,55,35,44,42,26,36
Colina,2015,38,26,41,43,28,46,44,50,36,37,37,24
Colina,2014,25,28,32,36,47,38,53,38,29,33,47,34
Colina,2013,39,31,28,42,35,48,39,34,27,26,40,27
Colina,2012,35,26,29,36,31,36,35,34,40,41,22,26
Colina,2011,30,27,30,22,37,43,36,35,28,25,33,30
Colina,2010,34,27,34,37,40,29,45,33,51,42,24,27
Colina,2009,34,29,26,27,34,41,41,31,38,27,28,35
Colina,2008,21,22,19,27,37,32,27,30,34,17,18,26
Colina,2007,33,13,28,21,31,34,29,38,29,26,23,23
Colina,2006,22,34,28,22,30,24,25,30,26,23,24,28
Colina,2005,29,13,26,21,22,20,24,29,26,23,26,31
Colina,2004,27,19,26,38,30,27,15,21,27,21,20,28
Colina,2003,25,21,24,22,30,21,25,29,18,12,22,23
Colina,2002,24,15,23,18,14,14,21,29,36,18,21,24
Colina,2001,24,27,21,17,30,27,31,25,14,14,26,23
Colina,2000,19,17,21,21,21,17,24,17,21,24,24,17
Conchalí,2020,76,53,82,82,157,,,,,,,
Conchalí,2019,69,77,71,87,97,109,95,86,83,82,92,69
Conchalí,2018,66,58,66,80,83,97,110,127,75,77,58,70
