codigo,region,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020,08/06/2020,08/07/2020,08/08/2020,08/09/2020,08/10/2020,08/11/2020
15,Arica y Parinacota,0,0,0,0,2,4,4,5,5,5,5,5,5,5,5,6,6,5,5,5,5,4,4,7,8,9,10,10,9,8,9,7,7,7,6,7,8,7,7,7,7,7,7,7,7,8,8,8,8,7,7,8,9,8,8,8,9,9,11,12,12,11,11,11,11,12,12,11,10,12,13,12,13,13,14,14,14,14,15,15,15,14,14,13,14,13,13,14,15,15,14,14,13,13,11,11,11,14,14,14,16,17,17,20,20,21,21,21,23,23,22,23,23,24,23,21,18,23,23,24,26,25,25,26,25,25,26,23,25,25,26,28,26
1,Tarapacá,1,1,1,1,1,2,2,2,2,3,3,2,2,1,0,0,0,0,1,1,1,2,2,2,3,2,2,2,3,2,2,2,4,4,5,5,5,4,6,6,7,9,8,9,13,13,12,16,18,18,21,18,17,17,15,16,16,23,23,23,25,26,29,32,32,34,39,41,44,45,42,47,45,45,45,36,35,38,40,42,38,36,35,34,36,37,32,31,32,32,31,30,29,29,25,24,26,26,27,27,27,26,27,27,27,27,28,30,30,31,33,32,32,29,29,26,26,26,26,28,29,26,26,25,24,23,22,16,20,22,23,24,26
2,Antofagasta,3,4,3,3,3,3,2,2,2,3,2,3,4,4,5,5,6,5,5,5,7,10,14,16,16,15,17,19,20,21,23,22,24,25,24,28,28,29,30,31,32,32,38,39,41,45,49,47,50,50,50,44,44,46,47,49,48,48,54,52,48,51,53,54,54,46,49,51,53,55,58,62,63,62,62,63,67,72,75,75,68,78,78,79,79,82,87,83,84,85,92,93,97,94,88,91,81,86,89,86,82,77,74,70,72,78,84,83,84,87,86,82,80,80,84,88,82,81,80,72,82,81,81,79,78,79,77,76,75,71,69,70,70
3,Atacama,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,5,6,7,7,7,7,7,7,7,7,10,9,11,11,11,11,11,12,12,12,12,10,10,10,10,10,9,9,9,7,6,6,7,7,8,8,7,8,7,6,6,5,7,7,7,7,6,8,8,8,9,8,7,6,6,6,6,8,8
4,Coquimbo,1,1,1,2,1,1,2,1,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,3,3,4,6,6,9,9,12,10,11,11,10,9,10,11,11,10,11,13,17,18,15,16,17,16,16,14,16,18,21,19,22,23,26,27,30,29,30,33,34,35,35,41,40,42,44,43,39,35,34,34,31,33,34,36,31,30,33,35,36,34,38,34,36,35,34,34,34,38,38,40,40,45,39,38,38,40,45,42,40,40,42
5,Valparaíso,14,17,18,22,27,22,21,20,22,21,22,18,16,16,16,18,18,19,22,22,22,24,20,17,16,14,15,15,14,18,19,18,17,18,17,16,15,18,19,18,19,21,24,25,25,26,27,32,34,38,38,37,46,50,54,66,74,73,79,88,95,96,94,92,90,92,86,91,91,95,98,105,107,104,104,106,102,102,106,116,122,129,123,119,121,127,133,133,137,134,135,132,131,136,136,140,145,148,153,137,135,139,139,134,131,131,133,131,131,125,120,120,117,122,115,115,119,115,112,110,110,112,112,110,106,103,102,102,103,96,95,98,95
13,Metropolitana,83,90,107,129,146,161,160,174,164,181,178,185,189,190,198,196,202,181,186,194,204,213,234,242,246,248,252,258,256,257,262,269,289,303,314,340,348,366,394,415,421,450,490,509,551,581,595,620,682,705,730,771,832,851,884,927,959,977,1014,1022,1033,1088,1090,1112,1128,1147,1144,1174,1182,1172,1179,1185,1207,1207,1257,1270,1271,1329,1372,1411,1437,1459,1469,1467,1482,1495,1479,1498,1533,1496,1499,1474,1493,1498,1480,1485,1474,1453,1449,1424,1422,1424,1429,1378,1376,1336,1274,1260,1240,1223,1210,1185,1159,1134,1109,1096,1069,1040,1026,1001,979,953,953,950,945,939,937,899,876,842,821,826,811
6,O’Higgins,5,5,5,5,5,6,6,6,6,7,7,7,7,5,6,4,4,4,4,4,3,4,4,4,4,4,4,5,4,5,6,5,5,5,7,5,6,6,5,5,5,6,7,8,7,10,10,9,9,14,18,22,24,26,26,28,30,33,33,39,40,40,36,31,31,35,35,36,36,34,37,36,38,38,38,42,42,42,43,52,57,59,59,58,68,87,89,91,94,93,95,97,105,96,98,101,100,101,98,96,95,95,89,88,84,82,80,72,73,71,75,75,63,66,64,60,64,66,59,56,48,50,50,51,51,53,48,42,44,45,45,46,47
7,Maule,3,3,3,3,4,5,7,8,10,11,13,15,16,15,15,13,12,12,15,9,14,10,9,9,8,10,10,8,7,6,5,5,8,8,7,4,4,4,4,4,5,6,6,6,6,8,8,8,8,8,10,16,15,18,22,25,29,33,36,39,38,39,39,43,48,41,42,42,49,44,44,44,52,50,50,48,52,54,55,56,59,61,66,67,70,59,64,56,55,58,58,52,51,58,61,59,59,62,59,57,51,55,56,54,46,48,51,49,51,50,51,54,53,52,50,47,52,52,49,44,38,36,36,34,32,30,32,32,29,30,30,26,27
16,Ñuble,7,8,10,11,10,11,13,13,13,13,13,12,13,12,13,12,12,13,14,15,15,15,15,13,10,10,10,9,7,7,8,8,9,9,7,7,7,7,8,8,8,7,5,5,5,5,5,5,7,7,8,9,10,9,12,12,12,12,12,10,10,11,12,13,12,13,13,13,16,16,13,12,11,10,11,10,10,14,14,15,14,18,20,17,15,13,18,17,13,14,15,15,15,15,11,11,12,11,10,10,10,10,11,10,11,8,8,9,9,10,11,12,11,11,8,9,12,8,9,8,7,8,8,8,8,7,8,10,9,9,9,8,10
