codigo,region,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020,08/06/2020,08/07/2020,08/08/2020,08/09/2020,08/10/2020,08/11/2020
15,Arica y Parinacota,70,0,93,103,0,93,24,198,131,0,155,48,52,0,169,85,90,73,146,80,61,84,124,87,41,89,86,77,123,92,127,74,70,83,90,140,107,0,106,135,78,93,88,182,157,76,160,159,81,172,90,243,137,0,,,,,,,,,92,274,164,189,241,237,244,170,113,231,201,214,168,126,115,213,197,211,183,153,122,172,141,216,229,252,223,145,174,260,191,313,298,243,199,264,242,264,299,192,409,298,249,396,414,377,343,246,436,365,385,396,438,441,546,387,490,497,535,623,747,895,807
1,Tarapacá,0,0,0,0,0,0,0,30,0,60,0,0,30,59,30,203,118,58,58,57,111,124,8,102,90,90,123,53,221,169,184,185,275,0,6,274,346,268,374,284,269,121,361,342,347,335,365,586,314,360,470,565,472,445,,,,,,,,,329,344,495,395,482,360,328,348,289,384,484,371,370,334,318,384,505,349,607,380,352,522,320,375,590,607,786,548,503,435,462,480,621,413,406,227,321,675,568,306,689,534,374,369,732,277,429,792,1358,468,604,390,584,588,555,418,1515,599,659,465,650,474,716
2,Antofagasta,182,128,107,175,103,95,117,117,143,200,129,197,147,152,146,166,217,214,180,181,198,259,164,312,271,231,182,236,247,291,215,419,245,285,94,283,416,5,299,345,290,386,396,259,344,224,347,218,165,206,343,501,379,247,,,,,,,,,543,436,526,535,654,364,681,324,745,651,814,583,667,568,558,735,564,709,689,705,479,681,668,784,707,855,752,628,699,820,730,887,677,775,654,509,726,695,739,745,534,378,606,602,732,589,763,771,763,863,752,856,826,1113,1209,1292,1424,1096,952,1139,1298,1745,2053
3,Atacama,57,52,60,25,20,22,25,29,37,0,31,33,33,47,57,77,46,54,56,73,112,107,114,105,75,70,111,107,164,167,111,101,133,86,0,4,197,311,66,143,98,86,133,154,133,99,83,175,261,178,155,83,126,289,,,,,,,,,186,139,218,81,132,415,152,371,246,251,303,255,271,183,181,264,232,279,342,321,464,290,236,237,292,286,325,179,182,303,294,364,302,362,265,321,216,0,553,415,299,334,407,404,328,625,517,13,1101,382,1000,660,655,865,1081,189,1371,534,689,334,605,1361,720
4,Coquimbo,0,0,0,0,0,0,0,0,0,50,0,0,0,29,22,44,42,72,0,148,74,78,166,165,102,191,0,23,51,59,66,370,95,48,0,80,253,92,180,205,308,128,167,202,221,227,210,214,138,222,176,248,359,177,,,,,,,,,363,307,307,266,345,314,338,412,381,338,364,370,375,254,262,399,499,339,363,317,276,262,207,234,414,393,391,262,257,297,412,415,284,234,205,374,259,394,285,661,394,352,265,547,636,639,545,598,530,661,672,771,856,757,876,755,917,808,956,875,903,914,785
5,Valparaíso,301,249,248,273,223,92,385,240,246,330,166,177,142,384,90,293,262,201,167,184,169,278,450,327,251,196,233,268,690,573,588,489,552,518,298,301,1097,213,839,545,529,616,631,358,975,547,575,599,694,898,536,871,714,587,,,,,,,,,795,986,939,978,967,840,853,569,896,781,781,949,1129,811,832,794,1029,751,853,856,619,905,590,846,935,974,931,602,631,727,1018,925,1034,816,654,741,706,1055,816,1107,823,572,916,996,960,1144,980,964,967,753,1463,1337,1787,2193,1340,1392,930,1718,1629,2230,1961,1980,1692
13,Metropolitana,5383,3185,2105,3861,1850,1656,2694,4356,3670,2744,3475,3276,2126,3917,3712,4376,4218,4313,3289,2975,4349,5282,6144,6922,4570,5631,5509,6920,8382,7839,8345,7691,8498,6424,7173,7563,9948,6555,7371,11992,10754,7285,11345,10626,9725,8696,10330,8874,8632,9000,9981,9996,11821,11285,8919.0,10253.0,11550.0,14331.0,10873.0,13391.0,13613.0,12274.0,7792,12227,11112,12281,12267,11163,8560,6143,8730,11557,11662,11315,10013,7325,6547,9279,9508,9824,9636,9757,7311,4489,4439,7928,9027,8983,7868,6349,4449,8336,8943,8332,10072,9723,5699,5149,8431,9206,9248,6431,8592,5898,5588,8695,9839,8543,8220,10138,7421,6998,6724,9338,9440,9627,10415,8169,7727,8916,9267,10430,10606,9508,8587
6,O’Higgins,68,0,74,0,113,30,30,58,50,0,0,72,65,0,86,72,0,195,30,95,105,111,94,181,63,72,214,174,68,150,131,269,183,0,164,204,148,0,168,349,143,143,102,115,230,0,233,112,0,208,3,193,174,196,,,,,,,,,243,275,160,396,167,361,469,474,443,471,474,654,368,391,468,420,437,347,499,465,483,339,405,346,396,435,533,525,232,583,823,783,713,755,667,497,638,754,377,583,500,244,487,612,815,638,846,589,382,650,1251,819,774,998,1066,857,648,1105,1272,1335,1317,1404,1014
7,Maule,397,219,0,341,65,160,0,469,367,176,0,328,188,724,663,606,254,349,535,255,58,249,187,339,302,322,267,135,93,181,238,446,333,245,329,234,241,0,371,270,892,477,0,533,332,385,286,434,291,547,348,439,471,0,,,,,,,,,626,673,566,699,677,454,516,511,843,923,762,987,761,576,689,794,853,821,736,605,575,652,637,647,921,742,641,521,468,737,800,770,800,815,693,613,896,864,680,751,830,894,543,834,966,1126,987,1276,702,1103,1296,1435,1267,1389,1202,1138,599,1369,1525,1783,1647,1482,1048
16,Ñuble,364,0,259,189,0,0,0,110,159,76,127,149,73,221,189,0,371,91,90,59,104,120,129,101,97,69,0,213,171,110,156,196,142,180,0,226,183,0,345,834,0,657,0,372,283,0,573,129,281,323,336,0,345,639,,,,,,,,,348,526,371,248,245,420,448,299,322,394,358,294,226,164,278,305,252,370,305,204,160,157,298,330,215,404,340,170,217,454,428,434,372,426,357,377,524,230,897,332,386,277,275,463,413,298,420,887,342,378,539,468,658,580,532,354,484,550,516,484,610,600,508
