dia,confirmados,muertes
03/07/2020,7,0
03/08/2020,9,0
03/09/2020,12,0
03/10/2020,17,0
03/11/2020,23,0
03/12/2020,33,0
03/13/2020,43,0
03/14/2020,61,0
03/15/2020,75,0
03/16/2020,156,0
03/17/2020,201,0
03/18/2020,238,0
03/19/2020,342,0
03/20/2020,434,0
03/21/2020,537,1
03/22/2020,632,1
03/23/2020,746,2
03/24/2020,922,2
03/25/2020,1142,3
03/26/2020,1306,4
03/27/2020,1610,5
03/28/2020,1909,6
03/29/2020,2139,7
03/30/2020,2449,8
03/31/2020,2738,12
04/01/2020,3031,16
04/02/2020,3404,18
04/03/2020,3737,22
04/04/2020,4161,27
04/05/2020,4471,34
04/06/2020,4815,37
04/07/2020,5116,43
04/08/2020,5546,48
04/09/2020,5972,57
04/10/2020,6501,65
04/11/2020,6927,73
04/12/2020,7213,80
04/13/2020,7525,82
04/14/2020,7917,92
04/15/2020,8273,94
04/16/2020,8807,105
04/17/2020,9252,116
04/18/2020,9730,126
04/19/2020,10088,133
04/20/2020,10507,139
04/21/2020,10832,147
04/22/2020,11296,160
04/23/2020,11812,168
04/24/2020,12306,174
04/25/2020,12858,181
04/26/2020,13331,189
04/27/2020,13813,198
04/28/2020,14365,207
04/29/2020,14885,216
04/30/2020,16023,227
05/01/2020,17008,234
05/02/2020,18435,254
05/03/2020,19663,260
05/04/2020,20643,270
05/05/2020,22016,275
05/06/2020,23048,275
05/07/2020,24581,285
05/08/2020,25972,294
05/09/2020,27219,304
05/10/2020,28866,312
05/11/2020,30063,323
05/12/2020,31721,335
05/13/2020,34381,346
05/14/2020,37040,368
05/15/2020,39542,394
05/16/2020,41428,421
05/17/2020,43781,450
05/18/2020,46059,478
05/19/2020,49579,509
05/20/2020,53617,544
05/21/2020,57581,589
05/22/2020,61857,630
05/23/2020,65393,673
05/24/2020,69102,718
05/25/2020,73997,761
05/26/2020,77961,806
05/27/2020,82289,841
05/28/2020,86943,890
05/29/2020,90638,944
05/30/2020,94858,997
05/31/2020,99688,1054
06/01/2020,105159,1113
06/02/2020,108686,1113
06/03/2020,113628,1275
06/04/2020,118292,1356
06/05/2020,122499,1448
06/06/2020,127745,1541
06/07/2020,134150,2190
06/08/2020,138846,2264
06/09/2020,142759,2283
06/10/2020,148496,2475
06/11/2020,154092,2648
06/12/2020,160846,2870
06/13/2020,167355,3101
06/14/2020,174293,3323
06/15/2020,179436,3362
06/16/2020,184449,3383
06/17/2020,220628,3615
06/18/2020,225103,3841
06/19/2020,231393,4093
06/20/2020,236748,4295
06/21/2020,242355,4479
06/22/2020,246963,4502
06/23/2020,250767,4505
06/24/2020,254416,4731
06/25/2020,259064,4903
06/26/2020,263360,5068
06/27/2020,267766,5347
06/28/2020,271982,5509
06/29/2020,275999,5575
06/30/2020,279393,5688
07/01/2020,282043,5753
07/02/2020,284541,5920
07/03/2020,288089,6051
07/04/2020,291847,6192
07/05/2020,295532,6308
07/06/2020,298557,6384
07/07/2020,301019,6434
07/08/2020,303083,6573
07/09/2020,306216,6682
07/10/2020,309274,6781
07/11/2020,312029,6881
07/12/2020,315041,6979
07/13/2020,317657,7024
07/14/2020,319493,7069
07/15/2020,321205,7186
07/16/2020,323698,7290
07/17/2020,326539,8347
07/18/2020,328846,8445
07/19/2020,330930,8503
07/20/2020,333029,8633
07/21/2020,334683,8677
07/22/2020,336402,8722
07/23/2020,338759,8838
07/24/2020,341304,8914
07/25/2020,343592,9020
07/26/2020,345790,9112
07/27/2020,347923,9187
07/28/2020,349800,9240
07/29/2020,351575,9278
07/30/2020,353536,9377
07/31/2020,355667,9457
08/01/2020,357658,9533
08/02/2020,359731,9608
08/03/2020,361493,9707
08/04/2020,362962,9745
08/05/2020,364723,9792
08/06/2020,366671,9889
08/07/2020,368825,9958
08/08/2020,371023,10011
08/09/2020,373056,10077
08/10/2020,375044,10139
